Gene	granule	purkinje	basket	astrocyte	oligo	opc
Irak3	5967.700000000001	4618.299999999999	6048.9	6312.4	1237.6	4726
Sh2b2	5298.700000000001	4014.1	5376	400.70000000000005	5302.8	5285
Gapdh	8369.4	5429.1	2583.9	3815.2	8759.9	7317.299999999999
Agtr2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Ccdc92	4868.4	402.1	3165.9	8089.2	8572	8417.5
Loxl2	5656.1	4215.9	5725.799999999999	5975.3	3563.5	3941.7
Zic2	1323	8469.4	2132.3	5413.8	9204.099999999999	7017
Gata2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Sirt7	6472.4	8525.8	6755.5	3811	1703.3	7705.6
Tmed10	8432.099999999999	8423.7	6848.5	5609.700000000001	820.5	4019.5
Ift88	6520.8	6860	4190.4	5580.8	7991.5	2882.1
Tgm2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Mafg	6296.5	8491.9	8781	4754.1	3117.2	3636.3
Trpv4	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Inpp5k	1430.8	2634.5	10183.2	8547.400000000001	5026.4	6617
Fam63b	1334.3	6257.700000000001	2217.3999999999996	5203.1	9296.1	10035.8
Pank2	1896.3000000000002	7491.4	4263.700000000001	6809.3	6709.700000000001	7653.9
Rprd1b	4391.4	8512.5	3443.2	6619.9	3959	7353.7
Acadm	4729.9	3227.7	4839.6	3501.2	4730.9	4637.6
Adam10	5267.9	9288.3	3301.3	6240.2	1053.1999999999998	9171.7
Eif4h	1045.9	9823.7	6709.1	5617.9	2885.8999999999996	8215.2
Osbpl5	7585.4	6442.1	1589.1	3626.5	7523.4	4932.7
Chm	5554.7	4115.5	4487.1	5829.4	5498.7	3565.7
Pycr1	5669.5	4210.2	5760.1	5182.200000000001	5671.7	1617.7
Tmem248	6264.6	7042.299999999999	3405.2	4742.5	6522.1	6271.2
Mdm4	9695.5	4380.5	6600.8	7848.9	1010.8	5401.3
Pnmt	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Casq1	4836.2	3369.2	4913	5192.4	2716.1	4759.4
Cyb5d2	4783.6	3294.6	4836.9	5131.3	4795.2	2717.7
Pgap3	5792.7	5873.6	7203	6251	4223.1	747.5
Lipc	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Cntnap1	443.6	5659.5	2700.5	5469.6	9369.8	10779.099999999999
Pdcd6ip	5492.799999999999	8752.099999999999	8129.4	5749.799999999999	1023.5	5159.4
Bud31	5598.8	9057.900000000001	6123.6	8658	2751.3999999999996	969.6
Srebf1	9846.8	5036.2	7641.9	2399.2	1029.4	8391.400000000001
Plekhh3	802.5	7112.3	5711.3	5795	8546.599999999999	5501.9
Dynlrb1	5170.9	8148.700000000001	3651.3	2268.3	6176.4	8748.7
Gjb1	6348.4	5109.9	6414.5	6666.6	193	4256
Notum	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Ccr10	2788.2	4565.9	5053.5	5384.8	5881	5730.7
Ppp1r12a	5448.9	8699.400000000001	5115	7241.9	3844.8	3471.5
Nadsyn1	6962.6	3781.3999999999996	7081.1	3223.7	6733.299999999999	3933.8999999999996
Cep164	7189.9	7226.299999999999	1694.2	4408.1	6367.5	6898.6
Atp1a4	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Fos	4778.9	3297.8999999999996	4838.8	5133	4798.7	2717.4
Ipo7	6826.5	5143.799999999999	2303.1	6965.4	3363.8999999999996	10141.8
Vps11	3824.6	7748.2	7676.9	6775.8	4383.9	3657.9
Wee1	4158.4	7126.3	5207.200000000001	2533.6	9070.9	6027.1
Snx19	6208.7	8534.8	3322.9	6197.1	7313.1	3636.8
Aldh1a2	4679.299999999999	3194.4	4738.799999999999	5026.1	4698.700000000001	3222.9
Zfp275	4355.2	4335.4	7150.4	5172.5	3104.8	9424.6
Ptpru	2582.3	4675	6184.1	6399.4	6042.700000000001	3395.3
Mien1	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Rpap1	1419.8000000000002	4232.3	6538.5	4340	8143.1	9527.4
Erbb2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Cmtm3	5146.5	3790.1	5204.4	5500	5183	753.9000000000001
Clasp2	4575.700000000001	10557.1	7692.8	6608.3	1089.4	3766.7
Syp	629.6	6159.6	2536.7	5155.3	10954.1	9037.3
Sbds	6544.1	6716.6	3927.9	5504.2	2599	9020.099999999999
Pigu	8996.3	7073.5	5001	5541	2809.3999999999996	4784.6
Dhcr7	7655.2	6516.2	7785	3702.1000000000004	472.2	5339.3
Nip7	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Trp53inp2	9100.5	7898.700000000001	954.5	2859.4	7507.9	5464.5
Atp1a2	9938.4	9455.8	5256.4	170	6350.6	2206.2
Grb7	222	4048.9	5414.8	5644.9	5324.8	5271.700000000001
Caskin2	7984.7	6989.8	8113.4	5218	2874.3	274.6
Igsf8	4154.4	11088.1	7889.1	7068.3	2451.9	2024.1
Tmtc4	1161.2	4677.200000000001	7499.6	7600.4	3846.2	7117.8
Tmem94	10261.2	2689.4	8894.6	4792.1	6337.9	1375.8
Fsd2	3787.1	2265.8	3840.4	4152	3800.8	3747.5
Adamts15	8084.6	7198.4	298.79999999999995	2508.5	8069.3	5500.7
Pcca	2437.7	9267.400000000001	3217.7	5077.700000000001	8108.6	6192
Cnot2	1960.7	8342.8	3362.7	8062.4	5630.6	6777.4
Comp	5104.9	277.1	6063.2	6200.9	5957.6	5843.8
