Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C19orf12	267.2705049271207	0.009061804183046803	0.020502770433071898	0.44197949797212294	0.6585040419021522	0.998579267766214
C19orf18	340.1712543947798	0.015279787785934546	0.023501279117547336	0.6501683465614356	0.5155834849892409	0.998579267766214
C19orf24	26.790527822360065	0.009861859557410278	0.03528595815222034	0.2794839668195245	0.7798734406243626	0.998579267766214
C19orf25	21.49342152622855	0.0033226091106558753	0.04067757433115464	0.08168159398116114	0.9348999153187215	0.998579267766214
C19orf33	0	NA	NA	NA	NA	NA
C19orf35	6.844335244491291	-0.025569785663567178	0.04735691849834559	-0.5399377002213617	0.5892399973243945	NA
C19orf38	19.36674900567908	-0.042714105800236886	0.028128147464084114	-1.5185538206800533	0.1288748424872366	0.998579267766214
C19orf43	91.54044731297223	0.009200724127011691	0.026549342683765992	0.34655186143789607	0.7289280160830682	0.998579267766214
C19orf44	110.9463343506102	0.04359355078566453	0.022173318046967302	1.966036417884103	0.0492944040107503	0.998579267766214
C19orf45	18.951756798412784	-0.004665629561879675	0.03522391298909689	-0.13245631066951194	0.8946233775092243	0.998579267766214
C19orf47	135.00452277562786	-0.0027108377577912874	0.025783012196311052	-0.10514045981714833	0.916264354913502	0.998579267766214
C19orf48	18.030354111478342	0.03978392385559806	0.03463602385326123	1.1486284922353212	0.2507092031934382	0.998579267766214
C19orf52	6.125802425627417	0.007301487200006194	0.06566992067361521	0.1111846508281192	0.9114699230260656	NA
C19orf53	38.721864646503846	0.023566633511658497	0.02769417769314858	0.8509598578003195	0.394791652043172	0.998579267766214
C19orf54	71.9481868009645	0.026326439750757612	0.029759589467207078	0.8846371950045699	0.3763523390493109	0.998579267766214
C19orf57	28.43942530435336	-0.01615125535158843	0.040894102594146636	-0.3949531674990279	0.6928774509407097	0.998579267766214
C19orf60	107.781512269485	0.004145220029788072	0.027386914395283964	0.1513576874692346	0.8796935653647159	0.998579267766214
C19orf66	64.17790401484655	-0.028077808529779577	0.03649309903271998	-0.7694004969160007	0.44165559369719587	0.998579267766214
C19orf67	14.142889153296881	-0.024084861731838176	0.0457892157719378	-0.5259941959215368	0.598892239661408	0.998579267766214
C19orf68	289.30767284115376	0.008651074355719943	0.015772048767552387	0.5485066958147934	0.5833440329115496	0.998579267766214
C19orf70	13.56774530804557	-0.010248234397404141	0.039939318206709394	-0.25659512624535846	0.7974913377599157	0.998579267766214
C19orf71	59.84600726571758	-8.577865198191676e-4	0.03350056918324888	-0.025605132710643082	0.9795722921025029	0.9985842532521129
C19orf73	3.3650548832707257	0.03646748164427791	0.0721069431930488	0.5057416114096682	0.6130380525841445	NA
C19orf81	8.009305015474348	0.06367910499195367	0.05249100371533548	1.2131432147362338	0.22507507023524473	NA
C19orf84	0.1887483240874806	0.14168403305773578	0.2929111129877681	0.4837099952013513	0.6285916986478655	NA
C1D	317.34070105261077	-0.022933984638658214	0.01646666965412696	-1.3927518508826333	0.16369484310237578	0.998579267766214
C1GALT1	3899.7780764565323	-0.01597709096931336	0.025145313933077517	-0.6353903956751251	0.5251738304610711	0.998579267766214
C1GALT1C1	32.436005432619574	0.007043549963338921	0.03479920723859281	0.20240547191338099	0.8395997509659585	0.998579267766214
C1GALT1C1L	0	NA	NA	NA	NA	NA
C1QA	0.8305292676952685	-0.24346985295152987	0.17921253783538132	-1.3585536809660783	0.17428806121536694	NA
C1QB	12.694393986816515	-0.14462399590489963	0.0728178402551057	-1.9861066381292347	0.04702148435890259	0.998579267766214
C1QBP	70.54238722160979	0.0037954861693559124	0.026508194024056932	0.14318162021567377	0.8861467451940214	0.998579267766214
C1QC	5.781813497949098	-0.1039643961290736	0.07134557995577813	-1.4571946320082263	0.14506266195846781	NA
C1QL1	228.8351330995807	-0.0202199689101868	0.033270143070802165	-0.6077511860155425	0.5433525089401481	0.998579267766214
C1QL2	29.89434842878647	-0.013128673529747453	0.04099406931025234	-0.3202578751181469	0.748772853537597	0.998579267766214
C1QL3	4.4994682160553525	-0.04458921035456157	0.07959581288087682	-0.5601954266274513	0.5753461461361205	NA
C1QL4	1.3428500253016378	-0.0072129240398782785	0.12457635663370752	-0.057899622647389466	0.9538285837034579	NA
C1QTNF1	37.97111305752903	-0.011255569730201117	0.03893958503122691	-0.289052123210222	0.7725414905359609	0.998579267766214
C1QTNF1-AS1	0.46393666614285045	0.03370889614490182	0.18762465824973756	0.17966133268066312	0.8574184514674588	NA
C1QTNF2	20.433016683177186	-5.063743799190269e-4	0.03887350463657031	-0.013026208587394882	0.9896068832041492	0.9986745917286847
C1QTNF3	0	NA	NA	NA	NA	NA
C1QTNF3-AMACR	3085.694353190578	0.005337919169838239	0.014880857391695099	0.3587104579617364	0.7198117040615111	0.998579267766214
C1QTNF4	19.194166576690417	0.011463195091907716	0.04491168043622341	0.25523861455564917	0.7985388083792565	0.998579267766214
C1QTNF5	0	NA	NA	NA	NA	NA
C1QTNF6	62.01945625215574	0.03917373084863328	0.031274091317450535	1.2525937348905434	0.210353596079572	0.998579267766214
C1QTNF7	255.152366996293	-0.10024626084288554	0.031986848788678614	-3.1339836413759703	0.0017245046961968046	0.4482599626436726
C1QTNF8	2.4395742951044808	0.20184845072597152	0.10404752303727102	1.9399640167663297	0.05238406308809097	NA
C1QTNF9	10.85526906966499	0.055360276139339956	0.06667327683790392	0.8303218135495556	0.40635685812757083	NA
C1QTNF9B	6.214652149786706	-0.16882904616667382	0.055279077825414184	-3.0541219717861465	0.002257202889164223	NA
C1QTNF9B-AS1	3.24485420806089	0.12429004954286912	0.10622482499283548	1.1700659384588499	0.24197443444379124	NA
C1R	37.62365418810604	-0.07244643984835933	0.031624005181363435	-2.290868580145985	0.02197101569575433	0.9276579094927913
C1RL	75.0140243945405	-0.13327014515612617	0.04446525996479944	-2.9971745416900384	0.0027249464772994866	0.4916138206103548
C1RL-AS1	5.150829408430578	0.03174595832395018	0.07144465849447902	0.44434334200650405	0.6567943698662733	NA
C1S	74.88137189616853	-0.0530158215323488	0.031575186249361786	-1.679034325044413	0.09314535428988584	0.998579267766214
C1orf100	15.596274806929696	-0.07112912912049152	0.03968204527796267	-1.7924763862913313	0.07305668844533317	0.998579267766214
C1orf101	1467.8158315136238	-0.007997066546906694	0.022285338731341604	-0.3588487769162691	0.719708220836463	0.998579267766214
C1orf105	378.6859297811734	-0.06633520246892342	0.02374548027924633	-2.7935927885569334	0.005212607221124745	0.6078536911452981
C1orf106	34.24441340075225	0.015187105728500011	0.035436178056458725	0.4285762901490996	0.6682316031856559	0.998579267766214
C1orf109	51.76299915125105	-0.01657356068539198	0.019300866453265998	-0.8586951640498753	0.3905087192145452	0.998579267766214
C1orf111	67.6235869462232	0.05404388698134862	0.041983451065439874	1.2872664254567845	0.19800144167673087	0.998579267766214
C1orf112	530.4327360865694	0.0034866365799252484	0.0163351039885626	0.21344440674307905	0.8309803468635485	0.998579267766214
C1orf115	1.746500211746633	0.015790843592784345	0.12732722049436326	0.12401781434853044	0.9013011701420688	NA
C1orf116	3.2691988445003064	0.015181848016601742	0.08533819184451655	0.17790215246489618	0.8587998203906746	NA
C1orf122	31.150799809911508	-0.00624432701387713	0.03476428865282062	-0.17961900720124452	0.8574516817839635	0.998579267766214
C1orf123	377.17851024144386	0.0027408688155858858	0.01637331500295586	0.1673985271211773	0.867056484011617	0.998579267766214
C1orf127	4.396115627608386	-0.026784154125980744	0.06292560872458791	-0.4256479145590681	0.6703644206191383	NA
C1orf131	105.31417887673332	-0.030812067293696014	0.02424788853416343	-1.2707113549406233	0.20383135450373352	0.998579267766214
C1orf132	713.4284730314359	0.018609622027233003	0.02197763554636839	0.8467526903870275	0.39713298299856664	0.998579267766214
C1orf137	0.8524405742919755	-0.14163917370229698	0.1829871543749665	-0.7740388891564396	0.43890779408941893	NA
C1orf140	21.771121582839697	0.027602608055150808	0.040286964353218775	0.6851498617057123	0.4932493587817345	0.998579267766214
C1orf141	13.814829825586212	0.04928900511583616	0.08332879801551983	0.5915002530896483	0.5541852856219311	0.998579267766214
C1orf145	7.79251351672712	-0.004040136686873143	0.05659656424468787	-0.07138484006566438	0.9430914747024329	NA
C1orf146	53.117659236741616	-0.006625096700917629	0.025174241374725823	-0.2631696662592989	0.7924198097552374	0.998579267766214
C1orf158	1.036794239149021	0.09567317858021741	0.1227793032240283	0.7792288770823865	0.43584490236246726	NA
C1orf159	380.9523807167333	0.0022023508171070943	0.017444686789690713	0.12624765601458765	0.8995358890725367	0.998579267766214
C1orf162	73.30264654666746	-0.014796504434507215	0.029608237222378982	-0.49974283586607715	0.617256166241797	0.998579267766214
C1orf167	1.9234195187523486	-0.07257995639961994	0.08619106742761037	-0.8420821155345123	0.39974199125352333	NA
C1orf168	42.19871739814803	-0.023438031062123648	0.043158124231388935	-0.5430734416644816	0.5870792376365174	0.998579267766214
C1orf174	93.58560063398664	0.018172190738265	0.025286349569553897	0.7186561543128107	0.4723528049034636	0.998579267766214
C1orf185	66.64255696709174	-0.0034091634088024734	0.03711181483452003	-0.09186194272642782	0.9268077288705223	0.998579267766214
C1orf186	4.530642823525228	-0.10789100230478864	0.09664980917758034	-1.1163084875475977	0.2642901097805257	NA
C1orf189	4.966453839019862	-0.030510528755874795	0.07699035340677195	-0.39629028061054644	0.6918908965245643	NA
C1orf194	46.26902869189484	0.030762184789054136	0.025580287677841762	1.2025738403130257	0.22914127586188557	0.998579267766214
C1orf195	0	NA	NA	NA	NA	NA
C1orf198	1423.8493662041205	0.0028109272931189063	0.022898384112789664	0.1227565787731236	0.9022998592398761	0.998579267766214
C1orf204	148.92195093313535	-0.02550587223454767	0.02231541792838804	-1.1429708516505517	0.2530506934021238	0.998579267766214
C1orf21	5469.84697531609	-0.017853416793745407	0.017128996040024266	-1.0422920731622818	0.2972762863355276	0.998579267766214
C1orf210	5.50002156605966	-0.1208754860732738	0.11354751780667037	-1.064536578237494	0.2870856932035277	NA
C1orf216	42.49777845806804	-0.02237583082357218	0.02792319141448593	-0.8013350082886334	0.42293772904274435	0.998579267766214
C1orf220	51.0580734179081	0.014706731866390044	0.026747279986455194	0.549840278108186	0.5824289296708651	0.998579267766214
C1orf226	256.8841696656584	0.02400207389938911	0.029542913061177248	0.8124477721504915	0.41653474371364674	0.998579267766214
C1orf228	1309.0500994970412	-0.006411177522921666	0.02733857610777196	-0.23451029408583796	0.8145888424603683	0.998579267766214
C1orf229	7.218834748435046	0.023234520322913094	0.06094900236397396	0.38121247964259825	0.7030455896359247	NA
C1orf233	2.9171573390055814	0.07425144895382331	0.11629328833274732	0.6384843873480415	0.5231584140075403	NA
C1orf234	17.181671630528797	-0.02040063914349669	0.03248799171943433	-0.6279439898802059	0.530040632276511	0.998579267766214
C1orf27	1661.731805532248	-0.041256072085129256	0.032138814437727356	-1.2836836954601307	0.19925265158460584	0.998579267766214
C1orf35	31.204924947933964	-0.027224037949665325	0.027856265415259342	-0.9773039402027061	0.3284187029933403	0.998579267766214
C1orf43	308.43175342533465	0.004873371415277158	0.019136975384562903	0.2546573487892098	0.7989877610532721	0.998579267766214
C1orf50	90.59877653077662	-0.00955503974559011	0.020967340606074615	-0.4557106180085539	0.6485980855958192	0.998579267766214
C1orf52	477.4535360178019	-0.019313165577692408	0.02043611905767607	-0.9450505510946381	0.34463306873958205	0.998579267766214
C1orf53	3.9756326092454826	-0.02622514231449884	0.06893353080545452	-0.38044101336564234	0.7036180749487038	NA
C1orf54	227.97728127023242	-0.04439876247525826	0.03242792130594291	-1.369152282576975	0.17095167828929025	0.998579267766214
C1orf56	81.64718921029497	7.264239151643758e-4	0.022331295711018308	0.032529411842679455	0.974049861177297	0.9985842532521129
C1orf61	17917.730553338366	0.03753218699990505	0.024638669013802125	1.5233041597693535	0.1276826269308795	0.998579267766214
C1orf64	0	NA	NA	NA	NA	NA
C1orf68	0	NA	NA	NA	NA	NA
C1orf74	5.549063735008563	0.026394498255099326	0.07311913760715527	0.3609793430128807	0.7181148892923312	NA
C1orf87	53.576764199738356	-0.16284898509854354	0.05812471427943092	-2.801716741619705	0.00508314831889206	0.5979563380092295
C1orf94	67.82123709706107	-0.019550429540857846	0.030780602975952105	-0.6351542091664666	0.5253278446879834	0.998579267766214
C1orf95	477.41555281408534	0.045084027022660914	0.041040210380597325	1.0985330388066283	0.2719717990136541	0.998579267766214
C2	159.30557880382955	-0.014887130074131215	0.02477179157504375	-0.6009710694130496	0.5478592556597581	0.998579267766214
C2-AS1	0	NA	NA	NA	NA	NA
C20orf141	0	NA	NA	NA	NA	NA
C20orf144	0	NA	NA	NA	NA	NA
C20orf166-AS1	0.40988338823783016	0.06721008503219152	0.24915724758143526	0.2697496688721623	0.7873528461861251	NA
C20orf173	9.065226489654789	0.011659281333081301	0.06869854987115753	0.16971655668057042	0.8652330526230783	NA
C20orf194	6234.631403382296	-0.007894476762350732	0.009152447264795749	-0.8625536464674631	0.38838292548349346	0.998579267766214
C20orf195	0.31747239065477223	0.13841686631476197	0.292028786655124	0.4739836366824602	0.6355115760018941	NA
C20orf196	779.1368668799416	0.012493544212279151	0.018102658021322778	0.6901497115817601	0.49010004409014213	0.998579267766214
C20orf197	11.491739389288007	-0.05847347159839692	0.05909348286274247	-0.9895079586731136	0.3224146779029075	0.998579267766214
C20orf202	6.08828678576885	-0.005634984609200795	0.05353145953480058	-0.10526491633461842	0.916165600979443	NA
C20orf203	94.08984306623773	-0.02050492622536438	0.03242799051640828	-0.6323218274961893	0.527176603398732	0.998579267766214
C20orf24	0	NA	NA	NA	NA	NA
C20orf27	14.548591061020751	0.039959327645693765	0.03971397584208246	1.0061779713163677	0.3143299667896716	0.998579267766214
C20orf78	5.590036963688219	0.013774313101712711	0.06905591986372356	0.19946607226281596	0.8418981804798176	NA
C20orf85	0.45395336654467783	-0.14040778554848538	0.20882666259795798	-0.6723652229160241	0.5013512168758192	NA
C20orf96	215.0174742055201	0.04681121739784228	0.02720714195921714	1.7205488716165478	0.0853327181013151	0.998579267766214
C21orf140	0	NA	NA	NA	NA	NA
C21orf2	150.733509777746	-0.00537597870163411	0.018686706218505735	-0.2876900101479733	0.7735840376392078	0.998579267766214
C21orf33	75.12083049482665	-0.022560586818510982	0.026722067118338053	-0.844268024573172	0.3985196497696028	0.998579267766214
C21orf58	104.91435353645842	-0.0261861053906275	0.03023403760824865	-0.8661134093278773	0.386427972350047	0.998579267766214
C21orf59	214.2395986554495	0.004281670331243044	0.02112731443243175	0.20266041597177215	0.8394004645651124	0.998579267766214
C21orf62	412.26158959193594	-0.024985975847024774	0.01810497729579822	-1.3800611532842677	0.16756781673783142	0.998579267766214
C21orf62-AS1	345.87422890139965	-0.004129997136657445	0.015404671256671018	-0.2681003098244594	0.7886221073541988	0.998579267766214
C21orf91	477.60163789432073	0.01609570699649014	0.02623912809255709	0.6134238508121693	0.539596119515293	0.998579267766214
C21orf91-OT1	105.16161700786172	-0.0618276221431776	0.03917161672261945	-1.5783781042531124	0.11447877232820708	0.998579267766214
C22orf15	14.470068869973913	-0.004320203759558122	0.04793957541663206	-0.09011768923717416	0.9281936924355986	0.998579267766214
C22orf23	0	NA	NA	NA	NA	NA
C22orf24	5.256026300424794	0.0723601361958104	0.05971063244394813	1.2118467554959609	0.22557104686194288	NA
C22orf29	0	NA	NA	NA	NA	NA
C22orf31	15.809891416839429	-0.0838425885297492	0.05500421451207957	-1.524293897721899	0.12743531085573978	0.998579267766214
C22orf34	471.4051352435703	-0.08024440347290457	0.03255664268445059	-2.4647628519518747	0.013710396068596229	0.843001432843454
C22orf39	341.1018387684498	-0.020389958006282922	0.01921533000112655	-1.061129733659922	0.288630946851664	0.998579267766214
C22orf42	2.2247987486124976	0.15327085233801035	0.1351280468229008	1.1342638034196377	0.25668390761166326	NA
C22orf46	203.57834561962358	0.010324827259792165	0.029440266240787712	0.3507042760872774	0.7258102172228202	0.998579267766214
C2CD2	800.5377473484116	-0.0010584532152235942	0.024697875154062212	-0.04285604363213828	0.9658162886336262	0.998579267766214
C2CD2L	125.28085270807335	0.030769714990104155	0.03225252700066372	0.9540249354560946	0.34007102052996097	0.998579267766214
C2CD3	1596.955692432177	0.0035204726949001194	0.010890647633743906	0.32325650533327166	0.7465009908637285	0.998579267766214
C2CD4A	1.180306363504751	0.15228179518205867	0.12241774575785384	1.243951963331173	0.21351724294880556	NA
C2CD4B	0	NA	NA	NA	NA	NA
C2CD4C	5.474075321485116	-0.11783122752737563	0.05402232871766899	-2.181157871649409	0.02917174161604123	NA
C2CD4D	0.9356515408604831	-0.010781405133596036	0.13869374372426682	-0.07773533862515275	0.9380385829886473	NA
C2CD5	4337.7968757827475	-0.002260707768466302	0.020963811739838453	-0.1078385837710124	0.914123735916934	0.998579267766214
C2orf15	0	NA	NA	NA	NA	NA
C2orf16	22.29989616061327	-0.04792734447133584	0.03479696125066741	-1.3773428123818308	0.1684062846872508	0.998579267766214
C2orf27A	358.44759123082724	-0.05995065610542922	0.026942257871284202	-2.2251533777102726	0.026070943448215252	0.944178257553791
C2orf27B	2.2492599088482486	0.04189824287556771	0.08147482930075951	0.5142476914054379	0.6070788281391634	NA
C2orf40	43.50091400286863	-0.009869984025737641	0.03766684496125939	-0.2620337338019414	0.7932954347506315	0.998579267766214
C2orf42	269.44470420090164	0.02618466559702966	0.019507649791897348	1.3422767927639168	0.17950626522424554	0.998579267766214
C2orf44	73.85843279096841	-8.074333483292751e-4	0.021560046766055118	-0.03745044512614537	0.9701258514625012	0.9985842532521129
C2orf47	103.75212469336815	-0.006589041795293395	0.01859880688291481	-0.3542722840649636	0.7231348366521572	0.998579267766214
C2orf48	9.255849186108048	-0.004913396929300876	0.0480994698491131	-0.10215075019982728	0.9186370188267361	NA
C2orf49	186.16945987809288	-0.034643428713448325	0.020210981705526095	-1.714089360833774	0.08651231544648313	0.998579267766214
C2orf50	22.990333157119117	0.005832886438982474	0.029690351773452767	0.19645730314983575	0.8442522485673432	0.998579267766214
C2orf54	0.1334175059569039	-0.06724560576533468	0.2944861540033983	-0.22834895580373768	0.8193749684904277	NA
C2orf57	0.5030550941424915	0.041578557468897805	0.2712216713312933	0.15330101486658196	0.878160900387788	NA
C2orf61	190.85653288894963	-0.032295327271516586	0.022699254396956622	-1.4227483734376114	0.15480911217955878	0.998579267766214
C2orf66	9.1671608024931	-0.03521375372666155	0.0712347218344179	-0.4943341227402338	0.6210702302887932	NA
C2orf68	0	NA	NA	NA	NA	NA
C2orf69	440.37585908575153	0.022773657722350456	0.029281726759845316	0.7777429899926694	0.436720542913146	0.998579267766214
C2orf70	5.406519813478755	0.0013375796572538546	0.07025043676450896	0.019040161440385662	0.9848090670128543	NA
C2orf71	48.04413862257827	0.05296470472651232	0.04470123698013337	1.18485993463786	0.23607283077331276	0.998579267766214
