Gene	granule	basket	astrocyte	oligo	opc
Chm	4316.125	4040	7646.875	9323.5	2158.375
Pycr1	3571.5	3445.5	4211.5	3479.5	3376.25
Tmem248	4243.625	5107.625	4709.5	8436	5188.125
Mdm4	8211.25	9342.75	3708.75	3945.125	2919.875
Pnmt	3571.5	3445.5	4211.5	3479.5	3376.25
Casq1	5019.375	4897.25	2211.375	4958.125	4830.625
Cyb5d2	5043.75	1294.75	6453.625	6920	6829
Pgap3	7192.25	5746.625	4770.5	2327.375	6783.625
Lipc	3571.5	3445.5	4211.5	3479.5	3376.25
Cntnap1	4316.875	3540.125	10091.375	6046.875	4092.125
Pdcd6ip	5566.5	7507.75	4509.75	1561.875	9543.375
Bud31	3987.875	4013.875	7943.875	7500.375	3951.125
Srebf1	8060.125	6418.25	1067.5	3503.125	7717.75
Plekhh3	4762.25	4618.375	5253.875	4669.25	3001.875
Dynlrb1	6844.75	6398.5	7307.125	3804.125	3097.875
Gjb1	6697.25	6558.75	7043	228.25	4728
Notum	3571.5	3445.5	4211.5	3479.5	3376.25
Ccr10	4884.625	4743.5	5398.75	2592	4698.375
Ppp1r12a	3602.75	9634.25	8221.5	5672.375	1390.625
Nadsyn1	9438.25	8075.125	3372.625	3021.25	5274.125
Cep164	5357.875	7770.375	8089.5	1353.125	6134.25
Atp1a4	5022.75	4900.5	2207.375	4955.25	4828
Fos	5471	5364.5	317.75	5416.125	5327.625
Ipo7	5474	2279.25	7267.5	8809.375	5543.125
Vps11	7522.5	3795.875	4496.5	4528.75	7116
Wee1	5070.625	4949.875	1983.375	5011.875	4888.125
Snx19	5837	5474.375	8707.625	1685.625	7975.75
Aldh1a2	3571.5	3445.5	4211.5	3479.5	3376.25
Zfp275	8401.625	8018.5	3221.375	6937.5	1076.5
Ptpru	3535	4700.25	5184.25	4580.125	4483.875
Mien1	7706.75	1130.25	6416.125	3201.5	9485.125
Rpap1	4724.75	4585.375	3455.75	4629.875	4506.75
Erbb2	4764	4625	3288.625	4671.75	4548.125
Cmtm3	3571.5	3445.5	4211.5	3479.5	3376.25
Clasp2	3315	7819.375	10643.75	1786.375	5036.875
Syp	3597.75	3284.75	8624.5	5710.375	7498.375
Sbds	5930.875	3171.125	3192.25	7495.5	9191.75
Pigu	7920.625	7175.875	7973.5	3499.5	1927
Dhcr7	7277.75	7112.75	5950.75	3800.875	4039.125
Nip7	6104.5	1513.5	7390.75	3982.5	6913.5
Trp53inp2	10497.875	5121	3561.875	892	8570.375
Atp1a2	9130.125	9030	54.25	6101.5	3008.75
Grb7	3571.5	3445.5	4211.5	3479.5	3376.25
Caskin2	6117.625	5971	3254.625	3934.125	5914.625
Igsf8	7708.125	3374.625	6133.125	1380	10425.5
Tmtc4	7196.25	3443.5	7411.125	631.625	6890.75
Tmem94	8091.5	6535	1985.125	3996.875	5547
Fsd2	7648.875	4545.625	4825	9021.625	509.125
Adamts15	3571.5	3445.5	4211.5	3479.5	3376.25
Pcca	2174.375	3725.5	4970.625	10152.625	7414.75
Cnot2	520.5	5688	8169.875	4507.625	9871.375
Comp	3571.5	3445.5	4211.5	3479.5	3376.25
Gemin8	8316	7923.5	3627.75	3996.375	2527.25
Tubd1	7141.25	7362.25	4638.375	5379.125	2062.25
Jdp2	6509.125	7530.375	3121.375	5663.375	4081.875
Zmym3	9067.75	3528.75	1245.375	5139.5	8418.5
Cgnl1	3571.5	3445.5	4211.5	3479.5	3376.25
Haus7	5077.125	4941.25	5576.5	5013.125	1690.875
Adamts8	3571.5	3445.5	4211.5	3479.5	3376.25
Acot7	4978.375	2859.25	5308.625	4695.125	4598.25
Zbtb44	1809.125	5619.375	7815.75	3243.625	10263.375
Gpm6b	8282.5	11224.75	1788.375	2518.75	4919.125
Lrrc45	3571.5	3445.5	4211.5	3479.5	3376.25
Fbxl2	3647.875	1852.25	10293.375	8385.625	4579.75
Cpsf4	7486.625	8373.875	3152.5	3511.25	5505.75
Ikzf3	3571.5	3445.5	4211.5	3479.5	3376.25
Rac3	4803.875	4673	3097.625	4721	4602.5
Ubp1	1444.125	3899.5	9486.5	8223.125	5516.625
Zzef1	6146.625	5893.25	4297.375	4769.75	7091
Fam129a	3571.5	3445.5	4211.5	3479.5	3376.25
Dcxr	10562.5	6398.5	3311.125	2668.5	6055.75
Susd5	6946.5	6824.125	7327.375	3990	357
Zpbp2	3571.5	3445.5	4211.5	3479.5	3376.25
Pbrm1	5774.625	9408.125	4060.875	5315.125	3733.25
Terf2	8521	8132	3498.625	3002.75	3387
Batf	3571.5	3445.5	4211.5	3479.5	3376.25
Exosc10	7877.875	10562.875	5881.5	3363.125	849.25
Rfng	8266.25	6995	2895.125	4585	3157.125
Limk1	6182.25	2232.75	5242.5	5873	5765
Ggt7	4394.75	1262.125	8501.5	9718.875	5156
Gps1	8479.25	4803.25	732.75	5570.5	8182
Glb1	5801.75	1627.625	8888.25	8321.375	3659.625
Acss2	4778.25	7616.375	6454.5	703.375	8983.5
Gpr153	3571.5	3445.5	4211.5	3479.5	3376.25
Gss	5811.375	5656	4823.125	3154	5596.25
Trim71	3571.5	3445.5	4211.5	3479.5	3376.25
Mfsd7c	3571.5	3445.5	4211.5	3479.5	3376.25
Hes3	3571.5	3445.5	4211.5	3479.5	3376.25
Tsen54	5739.375	7619.25	4255.375	6589.625	2052.5
Cyb5b	5766.75	4147.125	6703.75	7193.5	5400.125
Dync1li1	1526	4468.875	7721	7606.25	7428.125
Ofd1	7917.75	10576	2122.875	3899.375	3371
Ormdl3	3571.5	3445.5	4211.5	3479.5	3376.25
Cmtm6	1079.25	8000.875	5885.5	8680.375	3380.625
0610007P14Rik	10204.625	2805.875	6456.875	1048.625	7978.875
Gsdma	3571.5	3445.5	4211.5	3479.5	3376.25
Rnf207	4584	1908	4527.875	7926.125	7833.875
Arfrp1	6362.375	4289.25	2575.75	6102.5	5981
Bgn	6272.75	6122.125	6646.375	4397.25	1477
Tcf12	8174.5	10869.375	5153	966.5	3414.875
Gpd1l	1658.875	5480.5	7751.875	4909.375	7320.125
Whamm	6107.625	3771.25	3832.125	5580	9142.125
Nono	7826.5	9132.25	6609.125	1638	3330.5
Lime1	4636.5	4497	3815.25	4535.5	4419.375
Zgpat	6914.875	3931.25	2645	9629.625	5513
Vmp1	5297.25	2406.875	8407.25	3595	7976.875
Crtc1	1050.75	6354.25	6843.375	5974.375	7588.875
Osbpl10	3571.5	3445.5	4211.5	3479.5	3376.25
Rab9	7764.5	9381.625	4523.125	5796.375	948.5
Hyou1	8403.125	2041.875	6872.75	6180	3282.375
Stt3b	2165.625	6300	7576.625	6120.75	6876.75
St14	3571.5	3445.5	4211.5	3479.5	3376.25
Ptrh2	3537.625	7658.875	7513.125	1249.625	9302
Llgl2	3571.5	3445.5	4211.5	3479.5	3376.25
Homer2	4570.375	5745.875	3775.5	5626	5519.25
Atp5j2	9212.875	6070.75	7510.25	1714.625	4016.875
Gltp	8594.5	8485.25	6954.375	468.375	3010
Myo1c	6404.125	6263.75	2459	6346	3717.25
Tgfbr2	4783.875	4648.25	3199.625	4698.125	4577.125
Egfl6	3571.5	3445.5	4211.5	3479.5	3376.25
Psmd3	6184.375	3431.875	4455.375	5219.5	9698.375
Neu2	3571.5	3445.5	4211.5	3479.5	3376.25
Itgb1bp2	3571.5	3445.5	4211.5	3479.5	3376.25
Dus1l	4728.5	4585.375	3467.375	4628.5	4506.125
Kif23	3571.5	3445.5	4211.5	3479.5	3376.25
Klhl26	4914.25	4778.625	2668.25	4835.875	4709.125
Ppfia1	5714.375	9996.375	2174.875	5365.5	5368.5
Fasn	8027	1508.625	4544.25	5292.25	7696.75
Tlr8	3571.5	3445.5	4211.5	3479.5	3376.25
Rbms3	4763.875	4629.125	3271.5	4678.75	4558.75
Tlr7	4565.5	4423.125	4114.125	4457.25	4341.25
Syt17	8321.875	8198.375	4302.375	5851.875	487
Ncapd2	6934.75	6826.5	3192.875	1312.625	6818.75
Med24	5770.375	5736.625	6798.5	6216.25	2486.125
Edem3	1927.75	3845.875	5718.375	7814.625	9299.125
Psat1	11072.75	8723.875	5030.75	2782.875	918.375
Recql5	6074.375	5933	4823.5	2003.5	5889.25
Slc35a3	3638.875	6643.625	4261.125	3561.75	9159.125
Slc16a3	3571.5	3445.5	4211.5	3479.5	3376.25
Nfat5	3426	6279.25	3926.375	6910.875	8620.875
Smim5	6379.875	6245.875	2554.125	3374.5	6192.625
Sap30bp	6292.625	9342.75	6136.875	3814.125	1505
Fadd	3571.5	3445.5	4211.5	3479.5	3376.25
Tyro3	5697.125	10590.375	6195.375	462.5	5441.125
Csnk1d	7532.25	3786	1653	8980.875	7206.625
Etv1	165.125	10196.875	8190.625	6699.375	3222.875
Prps2	3571.5	3445.5	4211.5	3479.5	3376.25
Zbtb46	552.125	4418.25	7219.5	6751.125	6680.625
Paqr5	3571.5	3445.5	4211.5	3479.5	3376.25
Abhd16b	4717.25	4580	3473.875	4624.375	4507.375
Tchp	10704.75	8220.625	5477.75	3048.375	993
Myh7b	8008.5	7868.25	5132.25	1063.75	5155.75
Trpc4ap	6238.375	9228.125	7027.375	1393.875	4107
Fam103a1	3724	6125.875	3343.625	5968	5850.25
Cmc1	1819.75	5935.25	8214.625	6790.625	6011.375
Azi2	1146.25	4603.25	6822	7499.5	7406.625
Msl3	7611.75	7886	1004.875	5909.75	4834.25
Ano1	3571.5	3445.5	4211.5	3479.5	3376.25
Eomes	856.375	6711.25	4286.5	6560.375	6459.75
Tpd52l2	9896.25	7443.625	2232.875	3959.25	5369.375
Zfp280d	5432.75	9148.625	4571	2305.75	7200.375
Nr1d1	5457.5	2500	3759.5	8380.5	8819.375
Golga4	4106.5	5629.75	7633.75	1599.625	9440.25
Anp32a	4034.625	8948.25	6248.375	1390.875	7817.375
Slc37a4	5275	5163	1103	5234.625	5121.375
Itga9	7899.75	7759.75	5038.75	5942.75	645.5
Casc3	8263.75	8285.625	2468.625	3885.625	4946.75
Msl1	5751.75	9530.875	1517.125	3490.5	8259.875
Uts2r	3571.5	3445.5	4211.5	3479.5	3376.25
Hccs	4938.375	3021.625	5270.375	4657	4558.25
Vill	3571.5	3445.5	4211.5	3479.5	3376.25
Edem2	1428.75	3699.125	6942.625	7734.375	7647.5
Plcd1	4771.125	4634.25	3261	4682.375	4564
Coro2b	3176.25	7982.375	5482.625	1320	10604.625
Ogt	3895.25	7332.25	5818	8944.5	2798.25
Dnajc5	7515.875	8184.75	3976.125	2449.125	5558.625
Hexdc	4623.125	7045.75	4227	4316.75	6825.375
BC017643	8134.5	8002	2000.5	4054.375	3812.375
Procr	6685.625	6555.75	760.375	4175.875	6544.25
Itga11	3571.5	3445.5	4211.5	3479.5	3376.25
Ogfod3	3571.5	3445.5	4211.5	3479.5	3376.25
Mns1	537.25	8532.5	4244.5	5826.125	8388.75
Trappc4	5736.625	5955.125	1332.375	3585.625	10437.125
Prpf6	3571.5	3445.5	4211.5	3479.5	3376.25
Samd10	3907.625	3400.375	8474	10069.125	1494.75
Ccnd1	10492.375	8375	6075.25	3185.75	265
