Gene	granule	purkinje	basket	astrocyte	oligo	opc
Agtr2	3553.4	2262	3588	3311.8	3424.2	3777.2
Ccdc92	1058	2178.5	4385.8	8897.5	9193.9	7644.1
Loxl2	3553.4	2262	3588	3311.8	3424.2	3777.2
Zic2	301.9	7698.8	4263.6	2498.4	8233.6	8382.4
Gata2	3553.4	2262	3588	3311.8	3424.2	3777.2
Sirt7	9745.8	2358.1	6486.2	5837	3609.1000000000004	6747.9
Tmed10	7165.5	8206.7	6043.6	2958.7	1607.5	7472.3
Ift88	1720	5888.1	4277.2	6554.3	6992.2	5910.6
Tgm2	3553.4	2262	3588	3311.8	3424.2	3777.2
Mafg	10392.099999999999	5874.2	6908.1	786.1	5521.4	5357.2
Trpv4	3553.4	2262	3588	3311.8	3424.2	3777.2
Inpp5k	6482.9	4779.5	10081.5	406.70000000000005	3613.9	8905.6
Fam63b	1153.9	8046.6	2282.5	5035.299999999999	7457.1	10341.3
Pank2	5839.4	9764.5	5237.9	4613.6	5930.4	2640.8
Rprd1b	3248.4	7103.3	2016.6	9833.3	5420.6	6839.4
Acadm	8180.299999999999	8298.5	5521	1652	7041.2	3514.5
Adam10	2955.8	9588.7	4679.6	7888.200000000001	1509.1	7655.1
Eif4h	5089.9	10187.8	8016.2	5727.5	1773.4	3333
Osbpl5	5085.299999999999	3908.1	1062	4683.6	4890	5182.1
Chm	7798.2	5470.5	4491.700000000001	9810.3	3672.7	3966.8
Pycr1	3553.4	2262	3588	3311.8	3424.2	3777.2
Tmem248	5210.4	5794.7	4858.6	9042.7	2345.7	7550.5
Mdm4	6579.1	8712.5	5108.4	8066.4	1992.4	3882.2
Pnmt	3553.4	2262	3588	3311.8	3424.2	3777.2
Casq1	3553.4	2262	3588	3311.8	3424.2	3777.2
Cyb5d2	8559.9	7591.299999999999	7581.2	3491.5	3405.8	1575.9
Pgap3	3553.4	2262	3588	3311.8	3424.2	3777.2
Lipc	3553.4	2262	3588	3311.8	3424.2	3777.2
Cntnap1	187	5103.3	2598.5	7226.4	9084.3	9152.5
Pdcd6ip	5335.1	9839.1	6888.2	8426.5	719	3167.8999999999996
Bud31	3254.3	8658.7	5097.1	4532.6	6335.5	6948.2
Srebf1	7649.700000000001	6580.8	7297.1	1475.9	3001.3	6020.299999999999
Plekhh3	2563.2	3456.4	4823.2	4380.4	4582.700000000001	4870.9
Dynlrb1	3377.8	8755.3	7060.2	7358.2	3639.5	3901.2
Gjb1	5085.9	3989.6	5126.5	4900.2	390.5	5355.6
Notum	3553.4	2262	3588	3311.8	3424.2	3777.2
Ccr10	4682.4	3466.4	4713.1	2149.3999999999996	4613.200000000001	4896.5
Ppp1r12a	5660.6	9798.3	6295.1	7996.5	3260.2	1422.8000000000002
Nadsyn1	4553.5	3318.2	4593.1	2803.8	4488.5	4766
Cep164	4820	4570.1	3466.8999999999996	5035.8	7396.9	8144.700000000001
Atp1a4	3553.4	2262	3588	3311.8	3424.2	3777.2
Fos	3553.4	2262	3588	3311.8	3424.2	3777.2
Ipo7	6615.7	5822.1	1598.6	10686.7	4973	4145
Vps11	4036.3	8433.2	4309.7	8168.3	2972.5	8118.5
Wee1	4630.1	3401.1	4664.2	2428.1	4558	4841.2
Snx19	7059.5	8710	3034	1448.7	7192.799999999999	6911.700000000001
Aldh1a2	3553.4	2262	3588	3311.8	3424.2	3777.2
Zfp275	3572.2	8267.9	4674.1	8705.1	1475.4	6936.799999999999
Ptpru	3226.5	3329.2	4674.1	4264.700000000001	4452.5	4737.2
Mien1	6013.4	4869.2	3552	1388.1999999999998	5894.799999999999	6119.1
Rpap1	5566.6	1802.5	6854.6	4045.1	6712.4	5560.7
Erbb2	4811.6	3624.6	4842.4	1481.8	4737.6	5025.6
Cmtm3	4972.8	3846.4	5003.5	627.2	4889	5181.6
Clasp2	3915.1	10655	7947.6	6136.2	776.3	5030.4
Syp	2229	4657.5	440.4	7196.4	10753.1	9039.400000000001
Sbds	3330.8999999999996	6389.5	3376.1	8079	3889	9187.599999999999
Pigu	8259.2	5733.4	3745.7	9318.2	2060.7	5225.1
Dhcr7	7069	5986.6	7148.8	4171.1	1165.1	5731.2
Nip7	5242.7	4397.5	5743.9	7485	7039.6	2690.7
Trp53inp2	7133.299999999999	7025.6	1232.1	5256	4835	9793.400000000001
Atp1a2	8197	7480.8	8242.9	26.2	4999.1	2307.9
Grb7	3320.9	3312.7	4651	4247.6	4433.299999999999	4719.6
Caskin2	4865.5	3622.5	4923	4602.4	4846.700000000001	1699.3
Igsf8	2591.6000000000004	10954.8	1251.5	9115	5998.1	4371.8
Tmtc4	93.4	6530.700000000001	5457.9	4018.6000000000004	8548.7	8605.900000000001
Tmem94	10382.8	2047.4	4782.5	2713.8	8585.9	6429.7
Fsd2	3553.4	2262	3588	3311.8	3424.2	3777.2
Adamts15	5214	4172	43.6	4958	5076.6	5357.2
Pcca	381.2	5048.2	3194.7	9255.900000000001	7500.5	8890.2
Cnot2	1154.9	7541.7	3396	10545.4	6562.6	5084.1
Comp	3553.4	2262	3588	3311.8	3424.2	3777.2
Gemin8	4956.9	3824.7	4987.2	708.3	4874.6	5165.8
Tubd1	5513.5	3184.8	5622.9	3086	5471.700000000001	5659.6
Jdp2	10108.6	6953.9	3306.5	4707.6	6412.7	3478.3
Zmym3	6899.6	4211.9	3659.8	1656.1	9686.7	8011
Cgnl1	2873.5	3391.2	4753.2	4330.6	4523.9	4802.799999999999
Haus7	3477.5	4292.2	5631.5	5179.5	5477.2	4226
Adamts8	3553.4	2262	3588	3311.8	3424.2	3777.2
Acot7	5155.1	5273.1	8519.2	9532.4	1388.1999999999998	4584.1
Zbtb44	4489.799999999999	9996	3156.8	8943.6	5296.9	2011.9
Gpm6b	6760	11187.9	9229.7	619.8	2030.8	4507.2
Lrrc45	9046	1261	3504.3	6399.1	4970.6	8533.2
Fbxl2	4811	6090.3	1999.7	7966.7	10067.9	3442.8
Cpsf4	2280.1000000000004	4601.5	4734.700000000001	5354	5656.5	5871.6
Ikzf3	3553.4	2262	3588	3311.8	3424.2	3777.2
Rac3	3553.4	2262	3588	3311.8	3424.2	3777.2
Ubp1	3809.1000000000004	6032.8	1797.9	9292.6	8454	4973.5
Zzef1	5491.6	500.4	4286.6	9151.9	6535.700000000001	8374.2
Fam129a	3553.4	2262	3588	3311.8	3424.2	3777.2
Dcxr	4904	3748	4931.700000000001	1021.9	4813.5	5114.1
Susd5	5160.4	4075.8	5199.2	4966.4	5078	72.6
Zpbp2	3553.4	2262	3588	3311.8	3424.2	3777.2
Pbrm1	6624.5	8830.4	5555.2	7830.3	1653.3000000000002	3839.8
Terf2	6511.9	7982.6	7030.2	3775.5	3554.6000000000004	4123.4
Batf	3553.4	2262	3588	3311.8	3424.2	3777.2
Exosc10	3908.5	5983	7217	1466.1999999999998	7121.7	5260.3
Rfng	5102.6	4961.1	3124.7	4965.6	10301	6885.4
Limk1	4673.6	1686	4763.6	4382.799999999999	4559.6	4827.4
Ggt7	2771.2	5772.2	952	10032.3	8715.7	6344.7
Gps1	4728.4	3519.4	4763	1915.6	4657.8	4941.2
Glb1	5348.5	4146.4	5428.5	4156.799999999999	5390	3767
Acss2	4558.9	6192	907.8	9026.2	3599.3	10217.599999999999
Gpr153	5068.4	3972.8	5101.700000000001	129.7	4978.4	5266.5
Gss	3016	6518.6	971.5	8893	5108.5	9098.1
Trim71	3553.4	2262	3588	3311.8	3424.2	3777.2
Mfsd7c	4580	3347.4	4615.5	2675.6	4510	4787.7
Hes3	4847.4	783.4000000000001	4914.200000000001	4598	4731.200000000001	5006.1
Tsen54	3553.4	2262	3588	3311.8	3424.2	3777.2
Cyb5b	8477.4	6354.9	8370.2	3865.1000000000004	1408.3	4917.299999999999
Dync1li1	2359.2	7959.1	5373.1	9744	2790.6	6647.5
Ofd1	9265.099999999999	9286.7	6714.5	595.6	3790.8	4613.9
Ormdl3	5840.7	4601.6	2245	5411.5	5774.8	4370
Cmtm6	4004.6	1826.2	8023.3	6227.5	5561.1	5895.6
0610007P14Rik	6923.6	331.8	9018.599999999999	5087	3314.8999999999996	8791.7
Gsdma	3553.4	2262	3588	3311.8	3424.2	3777.2
Rnf207	4982.2	69	5017.5	4783.2	4882.2	5151.299999999999
Arfrp1	8694.099999999999	9364.7	4665.6	3958.8	3388.2	4094.5
Bgn	4868.700000000001	3630.6	4928.6	4609.4	4856.5	1660.6999999999998
Tcf12	6212.6	10970.2	8737.9	4709.1	701.8	2995.6000000000004
Gpd1l	5785.2	5691.6	2589.9	6389.4	6833.9	3993.5
Whamm	5581.200000000001	7680.299999999999	7233.8	538.2	8559.2	3898.6
Nono	6682.2	9285.4	4279.700000000001	8164.8	3571.7	2013.6
Lime1	3512.3	4288.6	5250.200000000001	2852.5	7325	7441.9
Zgpat	2938.3	7246.6	2904.2	8345.900000000001	6799.299999999999	7199.9
Vmp1	7650.4	7617	5909.8	10085.900000000001	158.8	2947
Crtc1	837.2	6130.9	7311.9	2861.8	10189.599999999999	6784.5
Osbpl10	5174	4100.4	378.8	4861.4	5006.8	5297.5
Rab9	7027.5	7841.8	5630.9	7711.3	1366.3000000000002	3890.3999999999996
Hyou1	5828.700000000001	6696.8	3728	3361.3	9366.2	5232.5
Stt3b	6991	8605.5	3100.6	7036.2	7075.8	1911
St14	3553.4	2262	3588	3311.8	3424.2	3777.2
Ptrh2	4785.1	8443.2	5499	7855.2	3988.5	2406.4
Llgl2	3553.4	2262	3588	3311.8	3424.2	3777.2
Homer2	3553.4	2262	3588	3311.8	3424.2	3777.2
Atp5j2	6531.4	6019.5	2948.3	4728.299999999999	8830.3	4933.5
Gltp	6375.700000000001	5294.9	6444.7	6144.2	2726.4	1489.6
Myo1c	4921	3773	4950.1	909.2	4839.8	5132.5
Tgfbr2	3553.4	2262	3588	3311.8	3424.2	3777.2
Egfl6	3553.4	2262	3588	3311.8	3424.2	3777.2
Psmd3	7596.700000000001	5487.1	8580.7	2141.6	3772.9	6321.4
Neu2	3553.4	2262	3588	3311.8	3424.2	3777.2
Itgb1bp2	3553.4	2262	3588	3311.8	3424.2	3777.2
Dus1l	5876.3	3402.9	5997.9	5554.4	5886.299999999999	1646.8000000000002
Kif23	3553.4	2262	3588	3311.8	3424.2	3777.2
Klhl26	3265.7	7704	8775.4	743.1	8727.8	5133.6
Ppfia1	932.7	4987.4	6925.5	2845.6000000000004	10171	8336.5
Fasn	7097.6	6023.7	7186.4	1054.6	5556.2	4344.5
Tlr8	3553.4	2262	3588	3311.8	3424.2	3777.2
Rbms3	4842.6	814.2	4909	4587.5	4728	4999.4
