Gene	granule	basket	astrocyte	oligo	opc
Srebf1	9782.375	7007.375	2611.5	1065.375	8139.75
Plekhh3	769.5	6193.5	6176.75	9079.125	5887.625
Dynlrb1	5764.125	4047.875	2326.875	6983.75	9486.75
Gjb1	6795.375	6802	7023.875	169.875	4571.5
Notum	3624	3613.625	3913	3614	3540.5
Ccr10	2734	5271.125	5411	6168.75	5984.25
Ppp1r12a	6033.875	5858.125	7889.5	4213.5	3903.625
Nadsyn1	6524.375	6580.375	2902	6308	3784.5
Cep164	7907.25	1675.625	4584.375	6238.5	7467.875
Atp1a4	3624	3613.625	3913	3614	3540.5
Fos	4860.5	4854.875	5145.375	4856.875	2513.75
Ipo7	6209.625	2089.25	6991.5	3315.625	10132.75
Vps11	4033.875	8205.5	7462.875	4935.875	3622.5
Wee1	4180	5610.125	2516.375	9469.375	6847.75
Snx19	7056.5	3433.375	6988.875	8336.75	3919
Aldh1a2	4727.625	4718	4983	4711.125	3092.5
Zfp275	3974	7361.625	4772.5	3130.75	9349.625
Ptpru	2321.75	6516.875	6692.625	6396.625	3514.25
Mien1	3624	3613.625	3913	3614	3540.5
Rpap1	1220.25	5917	4267.75	7734.125	9439.5
Erbb2	3624	3613.625	3913	3614	3540.5
Cmtm3	5316.75	5313.125	5588.5	5328.625	693.625
Clasp2	5406.625	9382.375	7942.25	1251.125	5274.125
Syp	609.625	2894.75	5587.5	10956	8636.75
Sbds	7181.25	4015.875	5785.625	2535	9084
Pigu	9348	5489	5899.625	2717.625	5072.875
Dhcr7	8421.75	8514.25	4025.625	452.5	6053.625
Nip7	3624	3613.625	3913	3614	3540.5
Trp53inp2	9864.75	1098.75	3315.875	8252.875	6024.625
Atp1a2	11312	6527.25	210.5	7809.75	2751
Grb7	204.125	5582	5781.25	5518.75	5445
Caskin2	8851.875	8940.75	6014.5	3324.875	284.5
Igsf8	5131.625	9593	8767.75	3036.125	2274.875
Tmtc4	1044.25	6890.25	7075.5	3954	6612.5
Tmem94	10094.375	8385.125	3664.125	5439.75	985.125
Fsd2	3624	3613.625	3913	3614	3540.5
Adamts15	8964.375	343.5	3041.5	8911.125	6336.625
Pcca	2627.875	3735.875	5809.125	9307.625	7094.5
Cnot2	1995.875	3706.75	9052.625	6213.875	7527.125
Comp	3589.25	4771.75	4943.75	4677.75	4537
Gemin8	3624	3613.625	3913	3614	3540.5
Tubd1	1687.75	8794.375	5776.75	2571.5	9991.875
Jdp2	3651.25	1770.125	6312.375	10648	5551.625
Zmym3	5586.125	1511.25	3431.625	7893.25	10218.625
Cgnl1	4988	4987.25	5279	4996	1978.5
Haus7	1730.25	8254.5	6836.25	8732.125	2432.5
Adamts8	3624	3613.625	3913	3614	3540.5
Acot7	3065.625	4333.875	5540	8747.75	6924.625
Zbtb44	2811.125	5237.75	9491.375	3977.375	7122.5
Gpm6b	10676.25	8975.375	1269.625	2793.625	4899
Lrrc45	3421.625	7446.125	3530.25	9076.375	5574.375
Fbxl2	3624	3613.625	3913	3614	3540.5
Cpsf4	370.75	9509.5	4351.5	6151	8127.125
Ikzf3	3624	3613.625	3913	3614	3540.5
Rac3	4929.875	4921	5212.5	4926.5	2247.625
Ubp1	7800.875	3711.625	5751.625	9200.125	2143.125
Zzef1	2735.875	3960.375	7632	5511.5	8715
Fam129a	3624	3613.625	3913	3614	3540.5
Dcxr	6857.625	6921.75	646.5	4256.125	6761.625
Susd5	5473.75	5462.75	5702	5475.25	120.5
Zpbp2	4720.875	4723.125	4961.125	3445	4568.25
Pbrm1	5467.25	7897	6260.375	2119.875	5815.75
Terf2	2174.25	7953.875	6222.875	9106.75	3192.875
Batf	3624	3613.625	3913	3614	3540.5
Exosc10	3928.5	6266	7581.5	2123.5	8712.75
Rfng	826.125	3186.875	6281.625	10627.375	7824.875
Limk1	8148	3772.875	1475.625	9659.75	5488.125
Ggt7	1083.125	2976.125	6365.75	10948.5	7219.625
Gps1	7711.375	6287.25	3775.875	7757.375	2582.625
Glb1	1334.5	9467.625	7813	6229.625	3435.5
Acss2	1494.625	3403	6285	7353	10148.5
Gpr153	574.625	9203.25	6290.625	9087.5	2433.5
Gss	747.375	6565.625	7898.5	7475.5	4655.875
Trim71	3624	3613.625	3913	3614	3540.5
Mfsd7c	3624	3613.625	3913	3614	3540.5
Hes3	5183.875	5181.625	5470.75	5195.75	1200.75
Tsen54	1355.625	6762.375	4376.125	9429.25	6090.75
Cyb5b	7180	4522.125	6763.75	4527.875	6726.125
Dync1li1	2650.625	3741.375	7584.375	7786.5	6842.75
Ofd1	10251.25	8200.875	3721.625	2042.75	4655.75
Ormdl3	5761.875	5809.5	4828.875	5729.125	3039.5
Cmtm6	6865.125	6394.5	4542.625	1793.625	8001.125
0610007P14Rik	8496.625	2594.375	6566.75	2752.875	8242.375
Gsdma	3624	3613.625	3913	3614	3540.5
Rnf207	2979.75	1231.125	6365.75	8575.5	8439.625
Arfrp1	1944.125	6086.625	8463.125	7327.125	3676.125
Bgn	7140.5	7200.25	3832.375	7117.625	40.25
Tcf12	9749	8599.875	6253.125	721	3293.875
Gpd1l	4990.5	2753.25	4849.375	7243	6990
Whamm	9626.5	6421.75	2211.375	7194.5	3179.25
Nono	1859.875	7469.375	7000.625	7670	3293.625
Lime1	2592.375	7693.25	2052.5	5890.25	10720.125
Zgpat	2026.5	5255.125	5873.625	7504.875	8938
Vmp1	7825.125	5211.875	8070.25	236.5	6476.125
Crtc1	1713.25	7736	5581.875	9963.125	3616.125
Osbpl10	6760.5	291.875	7012.375	6674	4791.875
Rab9	10341.25	5834.125	6592.125	3463.625	1594.125
Hyou1	8003.5	4339.5	1925.75	7579.625	6781.75
Stt3b	10376.75	1483.25	4560.5	7283.75	4904.625
St14	2404.125	5077.875	5275.625	4957.875	4827.5
Ptrh2	5417.75	7672.875	7814.5	3605.125	3626.25
Llgl2	3624	3613.625	3913	3614	3540.5
Homer2	3624	3613.625	3913	3614	3540.5
Atp5j2	5703.75	5261	5930.75	10290.75	1376
Gltp	8306.375	8373.5	7200	631.25	2945.75
Myo1c	3255.375	3768.25	2862.625	10459.375	8355.75
Tgfbr2	6678.625	6688	6907.5	234.625	4870.75
Egfl6	3624	3613.625	3913	3614	3540.5
Psmd3	9362.25	4052.75	7532.875	5342.5	2345.25
Neu2	3624	3613.625	3913	3614	3540.5
Itgb1bp2	4959.25	4974.75	5237.125	2427.25	4822.5
Dus1l	1803.625	7512.125	5937	7081.875	6861.625
Kif23	3624	3613.625	3913	3614	3540.5
Klhl26	3467.25	9310	905.375	8535.125	6061.5
Ppfia1	579.375	5576.25	5628	9880.125	7720.75
Fasn	8730	10521.625	4595.25	3271.125	1478
Tlr8	3624	3613.625	3913	3614	3540.5
Rbms3	5180.75	5258.5	1682.25	5159.875	5069.5
Tlr7	5349.75	5364.875	5632.875	779.125	5284.25
Syt17	5304.75	5299.75	5580.5	5319.25	731
Ncapd2	107	10546.375	5290.375	8838	3453.75
Med24	5517.75	5854	4656.375	9105.875	2665.75
Edem3	8167.625	3319.25	8194.5	2680.25	5844
Psat1	9032.375	9103.75	5987.25	99.25	3234
Recql5	7833.625	7950.25	3903.625	1250.5	6518.625
Slc35a3	4471.75	4190.375	7631.5	4275.125	7041
Slc16a3	4758.5	4753.5	5027.375	4750.125	2938.625
Nfat5	3929.5	8955.375	6957.875	4345	5418.125
Smim5	8517.125	8610.25	5724.5	460.375	4103.5
Sap30bp	2249.625	7844.125	5507	4847.375	8540.25
Fadd	5038.5	5030.625	5333.625	5043	1796.5
Tyro3	2404.875	10359.375	8641.75	582	6600.25
Csnk1d	7834.125	7609.25	7760.5	3754.875	1638.5
Etv1	157.25	8789.875	8955.75	5556.875	4079.125
Prps2	3624	3613.625	3913	3614	3540.5
Zbtb46	201.75	6749	6922.375	6684.375	4907.125
Paqr5	3624	3613.625	3913	3614	3540.5
Abhd16b	3624	3613.625	3913	3614	3540.5
Tchp	4062.5	10329.875	7512.625	694.25	5984.75
Myh7b	5654	9891.875	943.375	7975.5	3622.875
Trpc4ap	2562	7333.5	8969.625	4220.625	5488.375
Fam103a1	4875	4872.125	5148.625	4869	2459.125
Cmc1	3624	3613.625	3913	3614	3540.5
Azi2	7941.25	2130	8428	5030.875	5496.375
Msl3	7712.25	1347.5	4174.125	5710.25	9667.875
Ano1	3624	3613.625	3913	3614	3540.5
Eomes	5202.875	5277.5	1605.25	5177.75	5090.875
Tpd52l2	3632.75	7232.25	6020	2600.375	9269.875
Zfp280d	7539.75	3349.625	7507.125	2231.625	7883.5
Nr1d1	10157.875	3169.75	958.375	8503.125	5747.875
Golga4	6984.625	3752.625	6178.875	9780.75	1897.125
Anp32a	3624	3613.625	3913	3614	3540.5
Slc37a4	4895	8063.375	3976.125	3253.875	9603.875
Itga9	8132	8228.875	6606.875	4205.875	45.125
Casc3	1404.625	6840.75	4641.75	6548	7546.125
Msl1	5673.125	6220.875	6040	7034.375	2600
Uts2r	3624	3613.625	3913	3614	3540.5
Hccs	6472.875	2659.375	6757.375	6369.625	3407
Vill	3624	3613.625	3913	3614	3540.5
Edem2	4760.25	4763.75	5004.125	3278	4609.75
Plcd1	6347.75	6408.625	5100	6344.375	1021.875
Coro2b	387.25	10909.125	3462.25	5072.75	8825.75
Ogt	4012.125	7076.25	6070.5	3765.625	7400.375
Dnajc5	2219.125	2900.125	8530	8555.625	5831.625
Hexdc	5908.5	4074	1693.875	9380	7636.625
BC017643	5307.125	7819.25	4323.5	5568.875	4001.75
Procr	3624	3613.625	3913	3614	3540.5
Itga11	174.875	4629.125	8414.375	8088.375	6272
Ogfod3	3216.375	5993.875	4732.5	5819.875	5639.5
Mns1	3624	3613.625	3913	3614	3540.5
Trappc4	5691	7471.875	5973	2506.75	5980.125
Prpf6	1857.375	6115.375	5773.5	8671	5935
Samd10	964.875	5652.5	3405.75	8804.75	8698.5
Ccnd1	7045	7118.875	4113.875	7026.625	21.75
Oxsr1	7030	3465.375	3721.375	5813.875	9388.75
Uckl1	7903.75	8389.625	1119.75	3663.875	7660.5
Myd88	3624	3613.625	3913	3614	3540.5
Zfp512b	3628.625	6029.875	2523.75	9672.125	7136.125
Narf	994.375	3870.125	6178.125	9711.25	8003.25
Acvr2b	6464.125	6494.875	6737.875	3975.875	1572.875
Mid1	3624	3613.625	3913	3614	3540.5
Exog	4385.125	6537.125	6703.25	6441	1003.375
Wdr45b	2834.25	5568.375	8692.25	7632.5	3700.375
Fem1b	1558.375	3690.375	8699.5	5533.25	9302.125
Scn5a	3624	3613.625	3913	3614	3540.5
Fn3krp	5777.125	2905.875	8318.5	5548.5	5776.625
Scn10a	3624	3613.625	3913	3614	3540.5
Galk1	3624	3613.625	3913	3614	3540.5
Itgb4	3624	3613.625	3913	3614	3540.5
Scn11a	3624	3613.625	3913	3614	3540.5
Tbcd	2114.875	7302.625	4765.25	5914.25	8503.375
B3gntl1	6337.625	6419.625	3571.125	6327.625	2400
Metrnl	4788.125	4784.25	5056.25	4777.5	2822
Ptchd3	3624	3613.625	3913	3614	3540.5
Calml4	3624	3613.625	3913	3614	3540.5
Cln6	7735.625	6504.625	3263.5	1391.875	9648.125
Pias1	2786.625	7188.75	5987.5	5843.5	5934.25
Ttc21a	3624	3613.625	3913	3614	3540.5
Rfx7	3987.5	2493.5	7911.5	9089.375	5361.875
Csrnp1	3624	3613.625	3913	3614	3540.5
Cx3cr1	5527.25	5530.625	5766	122.25	5469.75
Gorasp1	3624	3613.625	3913	3614	3540.5
Wdr48	9118.375	3879.625	5645.375	4119.625	6866.125
Skor1	5440.875	853.375	5748.875	5324.75	5220.5
Nedd4	5521.625	9887.625	3845.75	7119.375	2173.75
Map2k5	8864.125	6941.25	3164.125	3915.125	5731.875
Slc25a38	5194.5	7568.5	1652.75	5012.875	9552.375
Prtg	8256.5	8364.875	6354.375	1474.75	2996
Rpsa	3809.5	10356	5368.75	3429.25	6053.5
Iqch	3624	3613.625	3913	3614	3540.5
2300009A05Rik	5420.375	951	5730.25	5302	5191.125
Unk	5581.75	9552.125	4517.5	1920.75	7395.5
Eif1b	7970	7178.75	8040.25	2240.125	2692.5
Entpd3	3624	3613.625	3913	3614	3540.5
Gm29797	3624	3613.625	3913	3614	3540.5
Sox18	3629.75	4760.25	4930.5	4668.375	4525.25
Tcea2	3663.125	5800.125	2010.25	10205.5	6930.5
Pigb	7505.375	4678.125	4738.125	7869.5	1338.75
Rab27a	302.375	6548.75	5497.5	8949.25	6408.75
Unc13d	3624	3613.625	3913	3614	3540.5
Rgs19	7855.75	5061.75	2812.5	7476.875	4120.625
Rsl24d1	2054.625	8323.25	7625.75	4208.5	6174.25
Aagab	3876.375	2088	5976.875	9671	7016.625
Wbp2	2036.5	8151	5626.75	2976.5	9662.125
Smad3	10352.75	2787.75	730.75	8904.5	5827
Unc13c	461.75	3751.375	7476	7059.25	6922.5
Smad6	4642.125	4637.875	4896.375	4625.75	3430.75
Trim47	3624	3613.625	3913	3614	3540.5
Onecut1	5343.75	1256.75	5658.75	5224.875	5098.5
Trak1	4851.125	3227.125	2117.125	10887.875	7574.75
Fam214a	6112.75	1419.25	7945.625	9654.625	3494.875
Cck	3624	3613.625	3913	3614	3540.5
Zwilch	3624	3613.625	3913	3614	3540.5
Mrpl38	612.75	4007.5	5243.75	10068	8332.625
Myo5a	4044.5	1472.5	8185.875	9523.75	5415.5
Myo5c	3624	3613.625	3913	3614	3540.5
Nktr	6168.875	3902.625	8008.375	2050.125	8466.5
Fbf1	5820.125	7729	2699.25	4004.625	7611.75
Leo1	1020.875	2699.625	5759.75	8997.625	10120.125
Tmod3	5504.625	6129.625	2917.375	5255.5	9169.125
Rpl4	1295.125	7322.75	10055.125	3759.5	5934.625
Pcmtd2	10094.625	4410.25	6115.125	7620	496.875
Acox1	1518.25	5535.625	4010.75	7470.625	10106.875
Scg3	6741.625	4841.875	1099.375	10695.875	5433.5
Snapc5	3624	3613.625	3913	3614	3540.5
Hmgcll1	4692.375	5883.875	6027.5	5785.25	3076.25
Gfral	3624	3613.625	3913	3614	3540.5
Evpl	3624	3613.625	3913	3614	3540.5
Hcrtr2	3624	3613.625	3913	3614	3540.5
Tipin	2238	3131.625	6599.375	7739.625	9156.875
Fam83b	3624	3613.625	3913	3614	3540.5
Dis3l	3672	3771.625	7157.875	9359	5488.625
Megf11	4990.25	3462.125	8820.75	11031.875	315.5
Lrrc1	7879	7973.25	4838.375	290.875	6412.25
Klhl31	3624	3613.625	3913	3614	3540.5
Gclc	7756.75	1064.125	5570.125	4828.625	9381.875
Rab11a	7831.75	5760.5	8553	4430.25	1218.875
Gcm1	3624	3613.625	3913	3614	3540.5
Rnf157	10326.625	1180.625	3602.125	6269.625	7285.875
Fbxo9	5540.375	3368.125	6711.5	6970	8258.125
Dennd4a	7661	4296.75	9732.5	5481.75	1487
Ick	9073.125	7942.5	6181.25	1343.75	3859.25
Slc24a1	5270.5	5261.5	5543.25	5284	868.25
Ints14	5611	5413.625	7571.25	9636.5	1041.25
Ubald2	10272.625	7643.25	2505.5	2070.875	6275.625
Hacd3	5138.875	6669.5	2623.5	9908.5	5078.625
Dpp8	5204.5	7425.25	7583.625	2757.5	5340.5
Ddx43	3624	3613.625	3913	3614	3540.5
Mto1	4221.625	1748.875	6090.25	8986.125	7433
Igdcc4	9350.25	5256.5	396.125	9284.25	3257.125
Slc17a5	2707.75	3043.875	7951.125	6213.125	9034.25
Igdcc3	6242.125	6295.5	5077.25	6234.75	1469.125
Cd109	3624	3613.625	3913	3614	3540.5
Ube2o	898.375	5001.25	5824.75	10376.25	7463.25
Myoz1	3624	3613.625	3913	3614	3540.5
Ccdc152	5182.625	5208.625	5482.75	1444.375	5094.125
9430020K01Rik	5083.25	5078.625	5377.5	5085.875	1596.375
Anks3	9342.625	5725.125	2668.125	7017.875	3715.5
Marf1	3624	3613.625	3913	3614	3540.5
Dsc3	3624	3613.625	3913	3614	3540.5
Cables1	11069.125	8379.375	366.625	6113.125	2687.375
Zdhhc14	5400.5	7507.375	10741.625	748	4211.875
Fam35a	9758.375	3938.875	2201.625	5765.125	6949
B4galt6	9971.125	1561.75	3292	8682.875	5109.5
Rbp3	3624	3613.625	3913	3614	3540.5
Arhgef37	5646.875	1000.625	5335.75	7100.75	10480.75
Ttr	3624	3613.625	3913	3614	3540.5
Il17b	3624	3613.625	3913	3614	3540.5
Reep5	3340	7968	10417	4843.25	2098.25
Rbbp8	7122.125	7591.625	4680.375	6104.75	2178.125
Cdo1	1533.25	6336.25	6503.375	6204.625	4725.75
Ptx4	3624	3613.625	3913	3614	3540.5
Trim36	5514	5516.75	5755.25	172.75	5458
Hars	3292	6286.625	9393.625	5668.75	3218.75
Mal2	3624	3613.625	3913	3614	3540.5
Mc4r	3624	3613.625	3913	3614	3540.5
Eif3h	3624	3613.625	3913	3614	3540.5
Mc5r	3624	3613.625	3913	3614	3540.5
Caskin1	8518.125	5496.75	1102.875	11089	2412.5
Slc6a7	3624	3613.625	3913	3614	3540.5
Ctif	4944	7796.375	5873.75	7615.875	977.625
Grxcr2	3624	3613.625	3913	3614	3540.5
Msln	3624	3613.625	3913	3614	3540.5
Fam91a1	7905.875	1673.75	6920.25	4098.75	8753.625
Me2	6024.125	9245.75	7772	665.625	4537.75
Syt4	71.5	3237.25	6066	10196.75	9081.25
Glp1r	3624	3613.625	3913	3614	3540.5
Sft2d3	7065.625	4204.375	6274.625	1563.375	6828.25
Rnase4	3624	3613.625	3913	3614	3540.5
Psmg2	3290.375	9685.375	6107.375	7183.5	2166
Ppic	4642.5	4640	4896.75	4625.5	3431
Hs3st6	3624	3613.625	3913	3614	3540.5
Xrcc5	8187.5	9531.75	4157	636.5	6097.625
Camk2g	5246.875	5320.125	1410.75	5228.75	5140.75
Lifr	10391.125	8643.25	160.25	4166	5243.75
Nedd8	2096.125	6995.5	8723.75	7099.5	4501.125
Kcnv1	3624	3613.625	3913	3614	3540.5
8030462N17Rik	3905.75	1616	7384.125	5969.25	9660
Masp1	5306	5300.75	5581.25	5322.5	722.875
Fam53c	7392.75	7854.5	4867.625	1576	6376.75
Gnpnat1	6553.375	1076.875	8134.625	3629.125	8983.25
Kifc5b	3624	3613.625	3913	3614	3540.5
Ndrg2	6850	3929.75	42.75	10486.25	7422.125
Cacna1d	7576.75	131.25	3970.875	11135.625	5786.375
Akap8	1924.625	5097.625	5314.375	8817.625	7667.75
Epsti1	3624	3613.625	3913	3614	3540.5
Pkmyt1	10721.875	8071.875	1746.5	5202	2823.375
Polr3h	4929.25	6265.25	6727.625	7570.375	716.25
Acaa2	3624	3613.625	3913	3614	3540.5
Elp2	1924.625	4544.375	7777.75	9398.125	4960.875
