Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Rftn2	15316.8	14350.6	15345.8	687.6	11868.3	5162.6
Boll	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ankrd44	7713.2	6324.8	7666.299999999999	7739.2	7742.700000000001	1631.9
9130227L01Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
9430016H08Rik	7475.700000000001	6064.299999999999	3409.6	7362.1	7346.1	7394.4
Satb2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Aox1	7592.2	6240.700000000001	7505	2002.7	7540	7616.5
Spats2l	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Aox3	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ndufb3	10362.5	18604.3	5294.799999999999	22902.300000000003	14237.4	1842.6
Aox2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Nif3l1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Stradb	10671.099999999999	14106.3	1497.6	18251.8	6685.2	18573.3
Tmem237	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ica1l	1404.3000000000002	6424.1	7794.6	7745.2	7673.299999999999	7751.700000000001
Nbeal1	18613.5	17245.1	1928.1	18390.1	6007.2	11063.8
Abi2	1911.5	18095.3	9825.8	14130.5	23334	6115.8
Raph1	10737.3	5282.7	11005.7	18756.4	19108.8	1514.1
Nrp2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Ndufs1	6363.8	18235.2	2113.8	22241.5	14180.8	10164.2
Zdbf2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Mdh1b	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Adam23	5688.9	187.4	16009.4	15963.6	15974.6	9291.8
Klf7	5850	19370.1	20019.2	13438.9	1466.6	9670.7
Plekhm3	7017.5	9525	10884.7	10754.4	3468.8999999999996	10887.8
Pikfyve	11261.3	17287.4	6546.299999999999	18220.6	1845.3	14869.5
Acadl	11526.8	10338.5	11491.400000000001	6014.4	1462.5	11682.2
Unc80	1176.7	8919.4	5093.6	19318.1	22958.4	15873.5
Map2	5042.2	18931.5	10234.6	14535.7	23413.6	1211.4
Rpe	14890.1	22851.9	19004.5	1277.6	5676.799999999999	9705.7
Ikzf2	15285.8	14208.6	15297.400000000001	5984	1665.4	10228.6
Bard1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Vwc2l	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Atic	3893.1	2383.4	3794.6	3958.4	3772.4	3896
March4	11574.9	5589.200000000001	1615.3000000000002	11343.4	11416.8	11428.4
Smarcal1	18449	13695.599999999999	6375.3	6333.200000000001	6195.5	22396.1
Pnkd	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Tns1	7386.6	5996.799999999999	7300.299999999999	3061.8999999999996	7344.700000000001	7413
6030407O03Rik	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Nhej1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Des	689.9	6618.700000000001	7892.6	7908.700000000001	7795.6	7884.8
Zfp142	5999.2	4422.4	14646.900000000001	6686.1	15223.2	23046.5
Epha4	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Mogat1	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Pax3	11502	10328.7	11472.2	193.2	11590.4	7200.2
Sgpp2	456.70000000000005	10703.8	5813.5	15273.8	15412.5	15386.7
Serpine2	11673.2	10569.8	11616.2	6666.299999999999	11682.7	76.8
Nyap2	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Col4a3	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Rhbdd1	7609.9	6259.2	7520.6	1907.9	7555.9	7637.5
Col4a4	3893.1	2383.4	3794.6	3958.4	3772.4	3896
Sphkap	142.9	5214.1	10137.1	15840.7	15879.2	15881.9
Trip12	18516.7	13143.8	5713.1	22936.3	10692.8	5765.5
