Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Hhatl	7098.849075886418	-5.957305566111097	0.5761584947157142	-6.868432215103754	6.491130339833657e-12	1.171299503937061e-9	11.235994481166145	FALSE
Man2a1	16983.43355704407	-5.938074294483977	0.639061694366766	-6.162275613133314	7.170690114551523e-10	8.410502435357481e-8	8.253178251918948	FALSE
Necab1	1214.0395251229959	-5.845972912174245	0.5018850249970149	-7.663055721172633	1.8156052486488093e-14	4.732274213644863e-12	4.745106910961952	FALSE
Ppp2r2b	32053.295510376814	-5.84146675596311	0.4534344743213508	-8.471933594622644	2.413527211792461e-17	1.0110093095397777e-14	7.993192063803179	FALSE
Rai14	862.228863702221	-5.776312129029255	0.5584041443909613	-6.762686428747753	1.3545620520857509e-11	2.1763915491662704e-9	4.4262331549652085	FALSE
Tcfl5	416.2639879365787	-5.752286905456518	0.7251377953048678	-5.174584651016507	2.2841853372271983e-7	1.5017830171772763e-5	6.054818404339839	FALSE
Ajap1	876.7431061136492	-5.74225386258046	0.5347590670369851	-6.9980185344321395	2.596077550065526e-12	4.991703866347304e-10	4.565242695813724	FALSE
Plppr1	3581.2732720125514	-5.7280554939635815	0.5363887887274459	-6.950286009534607	3.645463782107998e-12	6.786927730213445e-10	5.456661085500443	FALSE
Trim66	424.1756245252404	-5.69013723556581	0.5683839164606378	-6.492332257648186	8.451760125331958e-11	1.1801273155954587e-8	4.709861380649775	FALSE
Whrn	2186.690628064798	-5.682539787553637	0.6116945743331933	-6.0202263385578725	1.7417334590520873e-9	1.8571628855656302e-7	6.144333743412394	FALSE
Slc13a3	1639.050321007042	-5.673421503067314	0.5115656985634914	-7.180742401968139	6.933388087991544e-13	1.4521733729295147e-10	6.010280304221145	FALSE
Shisa7	565.57070534378	-5.479897778929992	0.6448802295972094	-5.39619237684419	6.806996160024694e-8	5.184367400060366e-6	7.148943946357343	FALSE
Mcf2l	1428.3102567763885	-5.464714240994747	0.5539445996934321	-6.254622290590454	3.9847911832773317e-10	4.8685016446520645e-8	5.305231623402278	FALSE
Cntnap4	6316.1970219653385	-5.420126724484834	0.47100340229914445	-7.261363097994433	3.8320873099373705e-13	8.323435566343595e-11	6.370064857720883	FALSE
Prex2	5364.854451947029	-5.411428200320607	0.46906324910767827	-7.272853302428472	3.519724945404385e-13	7.939010362432315e-11	6.115943991155738	FALSE
Slc39a11	7333.00475189457	-5.373081086251017	0.6150302936361397	-5.484414542101527	4.148409611555147e-8	3.2876146171574537e-6	5.743387137399887	FALSE
Kcnh8	7514.247842269374	-5.347951597508373	0.5193339362572845	-6.446625887066536	1.1436762617999471e-10	1.5597882412385558e-8	6.160275137604733	FALSE
Aass	559.1308948458237	-5.339006882730387	0.6534361647713793	-5.10992054426406	3.222943258852306e-7	2.0323602947891774e-5	4.999752566790681	FALSE
Cemip	1312.5653916118204	-5.329125764707529	0.6041303147112955	-5.510608694249131	3.5759490442504795e-8	2.8869408451638713e-6	4.688393129807377	FALSE
Snph	1472.834925909391	-5.316332969787775	0.6007898851210483	-5.51995473279247	3.39087003042365e-8	2.7812247962824473e-6	6.979997603562982	FALSE
Fam196b	1565.0630330073934	-5.282679270581694	0.5354009305371372	-6.131254324284362	8.718889505238214e-10	9.833062981436443e-8	5.631178560601747	FALSE
Prune2	10840.389715328392	-5.264111433071387	0.495627170567694	-6.585820202981723	4.523810033751694e-11	6.470703400716295e-9	7.078322874710697	FALSE
Galnt15	508.4204796376058	-5.239896352444798	0.5975468959688771	-5.421995117540608	5.8937492482389014e-8	4.518155877947325e-6	5.072838608055982	FALSE
Syndig1	2220.581443647723	-5.181828491719409	0.5010641416897305	-6.350142081589356	2.1511615243616415e-10	2.8034415021375215e-8	5.3456245621530165	FALSE
Shroom4	5695.886102939475	-5.137479442678146	0.5167885661010673	-6.07110847352717	1.2703034321281103e-9	1.3669164179294133e-7	6.510536258960343	FALSE
Fbxl7	6889.6523718764765	-5.121356431710486	0.5083781986030996	-6.139831409543561	8.260910699563605e-10	9.499237411292306e-8	5.8165817676888265	FALSE
Myh11	721.142138340665	-5.097312882169586	0.5378343609080892	-5.758860175724041	8.46838116138311e-9	7.651153242552575e-7	4.103530017938834	FALSE
Cpne2	1395.098961927026	-5.085699392978559	0.5202215413001577	-5.931510227866881	3.0016086137938326e-9	3.0613797766250315e-7	6.48346827722197	FALSE
Slc35d2	886.6025601231148	-5.060452835442137	0.5950530217884935	-5.143159892279228	2.7015550653011857e-7	1.7315048831102515e-5	5.590797151150188	FALSE
L3mbtl4	2595.2880329989694	-5.054812466379035	0.5029761774239304	-6.07347346354399	1.2517269228253306e-9	1.3593986183165095e-7	4.501284819533575	FALSE
