Gene	granule	basket	astrocyte	oligo	opc
Mid1	3384.25	3422.25	3139	3262.25	3596
Exog	3384.25	3422.25	3139	3262.25	3596
Wdr45b	5541.125	5942.625	8287	2717.875	6143.125
Fem1b	1659.375	3720.625	9834.25	7994.25	5348.875
Scn5a	3384.25	3422.25	3139	3262.25	3596
Fn3krp	7779.125	3283.25	10638.5	983.125	5850.875
Scn10a	3384.25	3422.25	3139	3262.25	3596
Galk1	4656.375	4695.125	2570.25	4610.5	4853.75
Itgb4	5196.5	5250.125	4984.375	792.875	5478.25
Scn11a	3384.25	3422.25	3139	3262.25	3596
Tbcd	7923.5	6351.5	9031.5	662.25	4560.5
B3gntl1	7624.75	7727.5	5435.625	3306.875	4013.75
Metrnl	3384.25	3422.25	3139	3262.25	3596
Ptchd3	3384.25	3422.25	3139	3262.25	3596
Calml4	3384.25	3422.25	3139	3262.25	3596
Cln6	3384.25	3422.25	3139	3262.25	3596
Pias1	8746.25	6030.625	2176.25	4330.5	6059.75
Ttc21a	3384.25	3422.25	3139	3262.25	3596
Rfx7	1945.625	3172.25	9799.125	8033	5616.5
Csrnp1	6022.625	6106.125	4594.125	1928.875	6284.375
Cx3cr1	3384.25	3422.25	3139	3262.25	3596
Gorasp1	8053.625	2692.5	7644	4167.125	5588.375
Wdr48	5844.375	5493.875	1780.5	5841	9740
Skor1	5377.875	575.75	5002.625	5192.25	5451.25
Nedd4	7532.375	9901.125	3271.25	5915.5	2001.25
Map2k5	7148.75	9167.375	6098.25	2105.5	4144.25
Slc25a38	5843	5926.875	4434.125	2615.25	6086.375
Prtg	3384.25	3422.25	3139	3262.25	3596
Rpsa	4190.25	6163.5	5657.375	2664.625	6188.875
Iqch	5792.25	5878.875	2806.5	4509.625	6026.5
2300009A05Rik	3028.375	790	10803	7994.125	5941.625
Unk	6878.125	9960.875	2088	4293.625	4567.625
Eif1b	5681.625	3274	10373.625	6286.125	1430.375
Entpd3	3384.25	3422.25	3139	3262.25	3596
Gm29797	3168.875	6158.125	5635.75	6019	3889.75
Sox18	3384.25	3422.25	3139	3262.25	3596
Tcea2	4352.625	656.75	7642.25	8122.625	6453.125
Pigb	1769.625	3930.5	8909.125	5808.25	8203.625
Rab27a	2855.625	1247.375	6750.875	7013	7191
Unc13d	3384.25	3422.25	3139	3262.25	3596
Rgs19	6183.375	4272.375	5721.625	6151	2519.875
Rsl24d1	7715.875	3314.125	10743	5037	3159.875
Aagab	3499.25	1758.125	5455.125	8160.625	9685
Wbp2	3297	7703.875	3426.375	3900.5	10403.25
Smad3	8931.75	3103	131.5	8966.375	6270.875
Unc13c	241.75	3116.125	8712.625	9038.5	6292.625
Smad6	3384.25	3422.25	3139	3262.25	3596
Trim47	3384.25	3422.25	3139	3262.25	3596
Onecut1	3384.25	3422.25	3139	3262.25	3596
Trak1	3581.625	5652.25	565.125	10404.375	8390.625
Fam214a	7558.375	6357.375	1533.5	9701.25	3390.5
Cck	3384.25	3422.25	3139	3262.25	3596
Zwilch	3384.25	3422.25	3139	3262.25	3596
Mrpl38	2759.75	5871.5	4088.625	7419.875	6164.125
Myo5a	3335.125	5437.25	10940.875	7806.125	1077.375
Myo5c	3384.25	3422.25	3139	3262.25	3596
Nktr	5909.625	1657.625	7357.25	4335.625	9357.375
Fbf1	3679.625	5882.375	756.125	9516.125	8565.875
Leo1	3574.875	2168	5827	7836.625	7910.875
Tmod3	1223.75	9323.25	7279.5	4684.875	6132.375
Rpl4	7174.5	3626.75	9589.75	765.5	6846.125
Pcmtd2	3886.375	5497.5	10951.625	7775.25	515.125
Acox1	8458.375	8237.875	5877.875	1006.75	4153.625
Scg3	3812	5363.25	267.5	10977	8235.5
Snapc5	8209.25	8290.125	2202.75	2975	6080.125
Hmgcll1	381.25	3609.625	8537	8917.75	5943
