Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CKB	471.0603674848063	1.664065272553552	0.3015194300853273	5.51893213675363	3.410658655673719e-8	3.5040264490386586e-7
FOXK1	956.8910663192848	1.6680680816121558	0.24532809102547723	6.799335838955872	1.0510255024927719e-11	1.5102817457331765e-10
TCTN2	352.23621272914556	1.6690118324466794	0.2896001292046896	5.763159833630532	8.2553546541133e-9	8.99407373241903e-8
CITED2	154.70184752246593	1.671180298022737	0.38435449357805745	4.348018108140947	1.3737326453140286e-5	9.90702313321301e-5
RPH3A	4952.625776842504	1.6752536583536262	0.3236851035965908	5.17556612812648	2.2722093198008081e-7	2.135333701351102e-6
LINC00457	153.57786890837937	1.6763171832029757	0.3686837783000159	4.5467614304388375	5.447768984761095e-6	4.2227531902039294e-5
PTCH2	374.0604866167973	1.676559253783522	0.359929956882415	4.6580153213844175	3.1927245573313817e-6	2.558468159629006e-5
TMEM132E	1366.3864734140022	1.6789205220431127	0.27853383663854275	6.02770759310608	1.6630157403817306e-9	1.9572677091390695e-8
NUBPL	1713.5610824557077	1.6809363799109955	0.2588832650889627	6.493028351343445	8.412784918375598e-11	1.1076833475861204e-9
PID1	1152.2862852254239	1.681192733954511	0.2361091285054668	7.120405486209675	1.0761000429865523e-12	1.660803465094589e-11
DLGAP1	76322.15689029383	1.6859186092044007	0.22609540375632964	7.4566690927577195	8.873719267392006e-14	1.4649257351636365e-12
ACTA2	281.70872188105415	1.6899671193933912	0.35588545019601486	4.748626611350899	2.048026576895e-6	1.6888897906034506e-5
CDK6	1729.149894232317	1.6913807521398772	0.3209700711575911	5.269590233257096	1.3672864459469456e-7	1.3141901556293392e-6
LOC440600	649.9212303689814	1.6914190870954893	0.31576366359157376	5.356598247742858	8.480339610702516e-8	8.298549525156347e-7
GABRA1	6371.502733351654	1.6960939521743328	0.21326201026868066	7.953099335589535	1.8190237419159304e-15	3.35510978239739e-14
LMLN	666.7315944388148	1.7030995581647272	0.26359354668404167	6.461082145558594	1.0395686455186893e-10	1.3625437224332458e-9
USB1	204.30101442691034	1.7107022495120094	0.3502144804560106	4.884727345609816	1.0357207535719644e-6	8.875188091901216e-6
AZIN2	1122.3416931363647	1.7117274958001354	0.2751679926682121	6.220663527040648	4.950567948342023e-10	6.078763383553254e-9
SPATA2	181.8821896310282	1.7127073648376279	0.35647780351709313	4.804527372923805	1.5511747969018245e-6	1.2977212360347419e-5
