Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Kcnt2	1951.0058825011652	-7.137422904732094	0.572251729696332	-8.97755766934648	2.768435603473116e-19	8.939802321701835e-17	5.295712939963883	FALSE
Serpini2	675.3888698557876	-7.120466322405937	0.6874650411834431	-7.448329755926589	9.45293085355365e-14	1.429666048585557e-11	7.373230465253024	FALSE
Prrg3	443.59235170119706	-7.063798121030203	0.9609299642781017	-5.269684898247896	1.3665815088901867e-7	6.735106567056121e-6	7.699659638972253	FALSE
Golga7b	556.2556040720989	-7.030029410113179	0.6877927820295443	-7.313291941317745	2.606758045478704e-13	3.4994994525145565e-11	7.687527865487929	FALSE
Grm5	6978.509782318894	-6.907426865059414	0.4620103284973082	-10.621898607810033	2.357173609652055e-26	2.8163510288122753e-23	6.68762815537704	FALSE
Tub	447.79690448229763	-6.900232391783628	0.6856299534724083	-7.147051214676587	8.866180596439484e-13	1.1150855343816732e-10	5.662674118823389	FALSE
Nrg3	18303.522738200205	-6.83931074489966	0.4933656937541385	-9.808770261418418	1.0321873714732172e-22	5.361989006244348e-20	7.006073384055098	FALSE
Col22a1	4087.4588170478996	-6.795464148200141	0.5025998525579048	-9.541316265403506	1.4103078415606374e-21	6.240873367024628e-19	6.604978103493189	FALSE
Tmem108	9587.793880102108	-6.791497672302644	0.46826474287290887	-10.232454493382814	1.4187711080669599e-24	9.971457175990611e-22	7.72361108331801	FALSE
Mrvi1	1127.8360127479189	-6.765473539935568	0.6511931440338462	-7.318064668825628	2.5157263163740463e-13	3.454930807820357e-11	6.088598594186141	FALSE
Lmo3	1377.6761339688126	-6.746364822101138	0.6190257880552029	-7.667475109579556	1.754150486869214e-14	2.8710397283716945e-12	7.50078637671098	FALSE
Frmpd2	1221.8236758541248	-6.731848975118419	0.5989533010472263	-7.900196838125986	2.784633283395973e-15	5.545133078335848e-13	6.224686174348188	FALSE
Scn3a	1545.981102683982	-6.625065215058206	0.589241150590798	-7.849189097572227	4.187358533100819e-15	7.941358691029933e-13	6.56309397460778	FALSE
Inpp5d	1107.799990478441	-6.617860086906361	0.9367921732099878	-4.929439227788295	8.246598277209603e-7	3.306387792486589e-5	4.471933843472014	FALSE
Pdzrn3	2787.9155701418713	-6.602234542339951	0.5091981839874592	-9.03819904914134	1.5927414399278907e-19	5.597080801252482e-17	6.491620883315061	FALSE
Clvs2	440.0394876392775	-6.550699999853012	0.7401699068684362	-6.148182947759169	7.837560383437967e-10	5.8163460534979396e-8	5.262572592249292	FALSE
Aif1l	444.1302130804207	-6.546099013958793	0.5847645053862812	-7.774238983530217	7.590232384263042e-15	1.3143202395242729e-12	7.078106411164728	FALSE
Shtn1	1225.761986282944	-6.455748783595047	0.5504494203854711	-8.094746980521402	5.738350164667554e-16	1.2696631068045913e-13	6.283915054612322	FALSE
Dgkg	11218.551222796448	-6.416592978169844	0.5447778666870391	-8.107144669860576	5.182314489196757e-16	1.1682696889985443e-13	8.553901202666491	FALSE
Dlgap2	683.0333820396564	-6.400967665196494	0.5290331263123003	-8.31888864100828	8.8791923283603e-17	2.257204041260614e-14	4.746848017170078	FALSE
Asb18	425.2738752007739	-6.381155484118077	0.6475223808405911	-6.766029428095771	1.3236463308720157e-11	1.3752109879355517e-9	5.6317455629184305	FALSE
Ryr3	6980.775344217377	-6.375341686863109	0.644928161991988	-6.784231089163485	1.1670639493924125e-11	1.2256830116724248e-9	6.2525101277757456	FALSE
Prkar1b	1519.3907308889793	-6.325328451009577	0.6559880096304584	-6.593609010393634	4.292612987238124e-11	4.203945899305009e-9	5.880246206839144	FALSE
Adamtsl3	1745.4682042647853	-6.311436078279085	0.526780138670752	-8.184507656568687	2.734191583485403e-16	6.53362420789672e-14	5.149016786869273	FALSE
Sntb1	1805.7820798579862	-6.283230457306995	0.6776554782923593	-6.320660858671744	2.604470563363986e-10	2.0884707577901282e-8	5.316132274213027	FALSE
Adamtsl1	5421.439850512179	-6.241457729707573	0.5080034987584382	-8.349268735498292	6.868689501076682e-17	1.7840674382361785e-14	6.600829270972131	FALSE
Prkcq	2171.132862374284	-6.216343339480777	0.573206436866555	-7.355715268184192	1.899074359899788e-13	2.7012071966765078e-11	6.683628426364183	FALSE
Lrp1b	16354.037565296734	-6.1868078402921824	0.5146591182912587	-8.135108640828086	4.115690976427115e-16	9.456591497375225e-14	6.0495586541742785	FALSE
Masp1	506.68453493711223	-6.186678361681366	0.693330568261303	-6.038502488330339	1.5555102959031577e-9	1.1195925912922246e-7	5.9383923971802925	FALSE
Sh3bp2	452.3414840934615	-6.178338914918503	0.5661475714732579	-7.38029998794381	1.5793327085203558e-13	2.273477976072435e-11	7.324195456472676	FALSE
Ntng1	3419.9038547916316	-6.167877841979048	0.541561294477679	-7.6960408442757196	1.4034696484994433e-14	2.3617824451086406e-12	6.219364935865684	FALSE
Pdzd2	5462.816704439469	-6.136696425199202	0.5339819354590571	-7.746884586353917	9.417447895607666e-15	1.6074238208102914e-12	6.415445813839708	FALSE
Fam196b	823.95951295649	-6.01771394713303	0.6261204849066763	-6.416838362558723	1.3913350810508195e-10	1.1624945138737894e-8	5.689289455787625	FALSE
Ndrg4	4135.401066966493	-5.970800907676934	0.46102881394899226	-8.612912658678768	7.12273592544077e-18	2.1275612209291582e-15	9.397968884427343	FALSE
Lrrc3b	996.9236890868385	-5.889025325370914	0.5312781230140848	-7.3201307505519315	2.47729462205673e-13	3.4417111795736985e-11	6.51815931983502	FALSE
Lama4	4579.45802055092	-5.87137228669694	0.6003629065301493	-6.448386874985131	1.1304689510401293e-10	9.717153256854292e-9	7.705173802824072	FALSE
Ano5	410.5105807917043	-5.871068759441454	0.6607347469053626	-5.858733444203002	4.664106305930173e-9	3.0619089089699843e-7	5.035513121502871	FALSE
Ncan	1830.9629883943026	-5.8510220806471525	0.5256091231787698	-7.326779370489247	2.357494573753187e-13	3.3138053137885976e-11	8.42596307975803	FALSE
Faim2	2764.7441084832344	-5.805127524306449	0.5124973411782552	-7.424677590635463	1.1305496057233318e-13	1.6676304554546135e-11	9.20448443937957	FALSE
Etl4	4282.383227091487	-5.785051427969363	0.613075623969036	-6.173873629920297	6.663680967719168e-10	4.976103762644288e-8	6.351343774996293	FALSE
Gas6	560.1510477810042	-5.7305170969099946	0.780418006645895	-4.780152514603204	1.7516226361584867e-6	6.560622964520877e-5	6.111647424120669	FALSE
Efemp1	2103.9558805914257	-5.699631181924837	0.594297773639908	-6.225214607932365	4.808972847969217e-10	3.7069424250023356e-8	7.9574315110271705	FALSE
Grik3	1929.174068099685	-5.662193807043086	0.5264844010706909	-6.95593981435238	3.5021936367439373e-12	3.985162816363482e-10	5.927308394599654	FALSE
Mgat5b	549.3843939206373	-5.640379446819008	0.6361997914346804	-5.722069538265121	1.0523421591273476e-8	6.514706796504429e-7	5.620851830182465	FALSE
Dock2	1482.2893123253011	-5.581970430428588	0.48055005630483105	-7.453896599184683	9.062303241919663e-14	1.3881589632622581e-11	4.738138955339242	FALSE
Stk33	447.33054537920765	-5.577553638398723	0.5413607761548708	-6.608446337411168	3.883742651517359e-11	3.834955140523091e-9	5.427162782273175	FALSE
Rerg	888.9635951043741	-5.567310186522742	0.5741360630192283	-6.213353273374277	5.186566262673489e-10	3.972377801693772e-8	5.9369392322010395	FALSE
Angpt1	1739.4169241763807	-5.553416604188756	0.49253518624557996	-7.214543657835257	5.411514397436289e-13	6.952341292534277e-11	5.774697928598322	FALSE
Plch1	2428.8998003186475	-5.526446628699574	0.5109925423542193	-6.901170440673567	5.157580583364736e-12	5.813469133022818e-10	6.617709957179766	FALSE
Elmo1	6023.871861538136	-5.453554944902567	0.46690300501728926	-7.396728887565595	1.395801152808661e-13	2.0337844114338882e-11	6.334624143306589	FALSE
Dcc	2625.9770992421777	-5.3724771645748985	0.5095178777944616	-6.618957472450749	3.617408920206222e-11	3.6017334815519946e-9	4.123581184262198	FALSE
Apcdd1	1035.57788467696	-5.317634908029155	0.5846210715720195	-5.674846613222793	1.3881297954221467e-8	8.334359193821009e-7	7.716315510917948	FALSE
Syt17	488.6004443145081	-5.294602976193881	0.6017665215760001	-5.474885787207737	4.377938821199905e-8	2.4227143786663875e-6	5.214630720458492	FALSE
Pla2g5	426.5186362916048	-5.256919315221515	0.5978137774093001	-5.448049941799229	5.0925060791682183e-8	2.753179304701442e-6	7.248067782093871	FALSE
Plxdc2	4714.010500808801	-5.246242081848929	0.6249826270198675	-5.194131711033521	2.056774951205866e-7	9.599354342581128e-6	6.021621704262187	FALSE
Rgs6	4977.75136090053	-5.23413841333388	0.5670301278256311	-5.7036447529440935	1.1727235835837557e-8	7.185487885466008e-7	5.7988929742110775	FALSE
Fam135b	2939.274683986922	-5.232105326290563	0.46184621214106875	-6.998228504044398	2.592190809156469e-12	3.006941338621504e-10	5.978900948013106	FALSE
Fmnl3	726.1255295265936	-5.2290756983658175	0.6108548416189392	-5.286158802978213	1.2491146745699786e-7	6.244528088603391e-6	6.143384843879211	FALSE
Myo1f	455.77863015217434	-5.2150248281194855	0.6588282135371314	-4.879913704452014	1.0613226952188009e-6	4.185044080024499e-5	5.81893231031933	FALSE
Pde5a	1300.813273302966	-5.205176032133726	0.5669826533832643	-5.6530407288618	1.5763393469056677e-8	9.277883013216215e-7	6.118296265585561	FALSE
