Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Colgalt2	1121.532553397104	-5.9270197946896594	0.29700028561902175	-13.222276155407672	6.5258792403060844e-40	1.6301102519014574e-37	6.317966818781841	FALSE
Lurap1l	878.6503760405039	-5.809330319354316	0.39473162160810693	-9.650431105152892	4.894951181628095e-22	4.019894840254853e-20	7.052810092086878	FALSE
Kcnh7	6760.837512351327	-5.803708425618359	0.38283981042685344	-9.935509113791882	2.916821032159874e-23	2.6902064750459143e-21	6.710196293521788	FALSE
Hacl1	483.22542520910343	-5.803112001451928	0.31916161897154327	-11.915944071555224	9.775262408640475e-33	1.5221480036311597e-30	6.4060972767942115	FALSE
Slc41a3	594.3692637430419	-5.783529754427814	0.3324942496883274	-11.379233649828258	5.306396897372769e-30	7.229965772670398e-28	5.7866276580990625	FALSE
Map3k21	471.4936004040675	-5.782438197292327	0.39508035096670235	-9.573845391291337	1.0300172029746296e-21	8.288527693735441e-20	5.888455654272827	FALSE
Arhgap29	1702.8863142565108	-5.709777608685552	0.3300028982377056	-11.241651599112162	2.54574416154202e-29	3.247177925200939e-27	7.539142975148234	FALSE
Slc26a5	504.59828177544495	-5.576997552851372	0.4255795999916566	-8.40500238479828	4.2785290272400245e-17	2.5522170664979053e-15	5.648847509426396	FALSE
Dok6	3471.0841658995782	-5.473431923669405	0.30864229049936837	-11.253907939996036	2.2155336509859393e-29	2.8563708037980014e-27	5.772429138599652	FALSE
Cdh11	864.239030875105	-5.397308188467996	0.41263220687947694	-8.23325986635913	1.8218638407902286e-16	1.0401974976702305e-14	4.993119429139938	FALSE
Pacsin2	762.0441058693979	-5.333430100236724	0.35486058768582807	-9.393632924904976	5.796564899850283e-21	4.483923428980961e-19	5.23311604635307	FALSE
Frem1	1979.1113373676505	-5.235100484155317	0.3011870374619743	-10.741167718958547	6.52142590926911e-27	7.376594023786474e-25	6.32599165152988	FALSE
Fggy	3277.2952018962915	-5.217467197216116	0.3219984756579978	-9.992181455645973	1.6491191267346915e-23	1.5569242779172404e-21	5.614136478230231	FALSE
Chst8	615.2341794470743	-5.206522201536059	0.29570147735557306	-10.843781472489237	2.1346131145392504e-27	2.5340605191411497e-25	5.625544720880745	FALSE
Glis1	735.5434403352833	-5.187110822116438	0.4024808279392122	-7.918664942216318	2.4007431710576947e-15	1.2624960798676212e-13	4.512101374947857	FALSE
Sncaip	2275.7217586399993	-5.169175552812437	0.32521936073366164	-9.744732126842328	1.942906010237673e-22	1.6659694967140867e-20	6.738186815349357	FALSE
