Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NUP85	414.61534311755884	-0.009765705940735527	0.0172509905528952	-0.5660953735260477	0.5713289481679644	0.9998737737122831
NUP88	420.539818139345	0.012889087479598929	0.008121781072815736	1.5869779502847912	0.11251763864569121	0.9866673194617592
NUP93	607.9023668520825	0.014237855814925274	0.006462509172027389	2.203146709106896	0.02758440994002919	0.6452293540902243
NUP98	1677.809488679254	0.01084389907917309	0.00720121981217296	1.5058419770554061	0.13210774451968393	0.9998737737122831
NUPL2	348.98540023590925	-0.002434976628403492	0.010564933212698406	-0.2304772381785432	0.8177209487332429	0.9998737737122831
NUPR1	25.636228822386794	-0.021411655480123304	0.040697341485172595	-0.5261192672234939	0.5988053425496962	0.9998737737122831
NUPR2	2.9348613256848877	0.042646311077698056	0.04792354985483168	0.8898821395092966	0.37352917515015804	0.9998737737122831
NUS1	607.8574226686036	-0.013897157362980103	0.011140011644714403	-1.2474993569305541	0.21221445588736937	0.9998737737122831
NUSAP1	48.63719799999429	0.025264622148019018	0.017510304211910122	1.4428431306655758	0.14906466617996336	0.9998737737122831
NUTF2	157.15196709970832	0.008038856629454713	0.011814443053412144	0.680426203174512	0.4962346342129484	0.9998737737122831
NUTM1	18.791942093853045	0.04136081712508582	0.039292637182222395	1.0526353050133055	0.29250816980818856	0.9998737737122831
NUTM2A	49.01427387904806	-0.017383054796048545	0.02494918902160482	-0.6967382699692419	0.4859666040853929	0.9998737737122831
NUTM2A-AS1	2319.32219036912	0.02110611879147695	0.015339768648918764	1.3759085468974548	0.1688499487819895	0.9998737737122831
NUTM2B	0	NA	NA	NA	NA	NA
NUTM2B-AS1	3553.156860492904	-0.010846705537207806	0.013818281065364058	-0.7849533155317997	0.43248094074296717	0.9998737737122831
NUTM2D	29.419993279962057	0.054756190204088284	0.023806729864789527	2.3000298871401665	0.021446526873252172	0.5908645484057838
NUTM2F	5.52758627287856	-0.015533251065157516	0.02320126681612612	-0.6695001263621121	0.5031765001306724	0.9998737737122831
NUTM2G	139.29622182062056	0.006304478429651593	0.013442127250454742	0.4690089828928167	0.6390632151846851	0.9998737737122831
NVL	1029.2005566680612	0.004241348054766304	0.005942252804329146	0.7137609580791192	0.47537500530800925	0.9998737737122831
NWD1	78.38429402656921	0.013006731657214958	0.040936604837052235	0.3177286369738802	0.7506907868142504	0.9998737737122831
NWD2	1399.3979277014632	-0.0051396959767996365	0.057351185269019944	-0.08961795563057012	0.9285908152916609	0.9998737737122831
NXF1	582.145071015371	0.01417145618406163	0.015211117671792824	0.9316512099791904	0.3515168086861362	0.9998737737122831
NXF2	0	NA	NA	NA	NA	NA
