Gene	Granule	Purkinje	Basket	Astrocyte	Oligo	OPC
Map3k5	1042.8	8279.8	10415.4	10581.1	10013.6	10387.4
AABR07000497.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Map7	25277.3	31060.6	13398.5	19537.9	121.6	7039
AABR07000501.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Bclaf1	19086.4	12159.2	2255.8	24764.5	18559	24462.2
Pde7b	20452.699999999997	11952.7	20534.5	7919.5	20214.6	1561.9
AABR07000521.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000523.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ahi1	8086.799999999999	23157.6	1776.8	14459.2	24476.7	19474
Myb	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Hbs1l	8483.8	22200.6	8952.3	19160.4	18189.2	28683.8
Aldh8a1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000533.1	1593.5	17620.300000000003	19733.9	14549.4	19282.9	8815.7
AABR07000533.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000534.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000534.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Themis	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000544.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Ptprk	15295	13448.8	1047.3000000000002	15566.8	14952.5	8463.400000000001
LOC103690149	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000574.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000581.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Lama2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000583.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000583.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000587.1	3650.4	7658.8	9943	10074.3	9502.599999999999	9866.599999999999
Arhgap18	9772.7	7470.9	9829.6	4217.6	9402.7	9779
AABR07000595.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000611.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
L3mbtl3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100360791	3503.6000000000004	12622.7	14805.2	10117.4	9496.8	14617
Samd3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000629.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000629.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Tmem200a	15791.7	14211	454.9	7192.7	15480.4	15798.9
AABR07000631.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
RGD1559962	9747.099999999999	13223.9	7843.799999999999	8930.4	14769.8	15042.2
AABR07000639.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Smlr1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Epb41l2	20677.8	19165.4	20793	14413.3	1109.3000000000002	6104.6
Akap7	7694.6	23298	2695.6	14386.9	19104.1	24706.699999999997
AABR07000658.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000658.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07071851.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07071851.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Arg1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Med23	1732	29797.5	19027.1	19027.1	13818.8	7913.799999999999
Enpp3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC127189.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Enpp1	15336.5	13542.1	212	15560.9	15025.3	9088.9
Ctgf	10139.7	7950.9	10117.2	10363.7	9831.9	1788.8
Moxd1	10101.4	1e3	10065.8	10194.8	9721	10075.5
Stx7	19676.300000000003	22814.800000000003	24443.300000000003	14701.8	7318	2823.6000000000004
Taar9	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000663.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
LOC100910174	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar8a	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC128759.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7h	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC128759.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7g	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7e	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7d	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7c	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar7b	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AC128759.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar6	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar5	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar4	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Taar1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Vnn1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Vnn3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Slc18b1	774.2	22985.9	15165.9	8608.2	24363.5	19428.800000000003
LOC100910237	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Rps12	20255.8	28500.8	19024.5	13446.8	1574.8	8807.9
AABR07000670.2	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000670.3	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
AABR07000670.1	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
Eya4	9922.9	7692.4	9915.4	10131.8	3022.8	9966.4
LOC100910446	5051.6	2664.1	5020.1	5256.1	4673.6	5135.6
