Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	rpkm	General
Ccdc138	755.5901224020681	-3.0060861784051847	0.20632465668942343	-4.876228534913435	1.0813332467745882e-6	2.185163145677927e-5	5.281743456822453	FALSE
St6gal2	4702.318572688064	-2.9470734017924167	0.1800846532648256	-5.259045591184758	1.4480498855752787e-7	3.233978077784789e-6	7.974112217739226	FALSE
Appl2	4697.03607894468	-2.931106873454347	0.17808493592220084	-5.228442645261783	1.7094384614569326e-7	3.7753937240671655e-6	8.436227519908098	FALSE
Tarbp1	3430.217623650318	-2.9299974128867405	0.16391236518745933	-5.67374774821377	1.3970680876997266e-8	3.5270907373520635e-7	7.47667443859361	FALSE
Ubxn2b	836.6341397333797	-2.9044574922049256	0.1787623031467748	-5.059553811310601	4.202386733430507e-7	8.87340326016478e-6	6.568570653539892	FALSE
Il15	2288.2259323476283	-2.850421403556229	0.16563628829636243	-5.1342698650347955	2.832414374763838e-7	6.119771585536255e-6	6.733681127172788	FALSE
Klhl3	2995.8377973318757	-2.7912769104830857	0.16990720515891253	-4.657112155679403	3.2067576833933734e-6	6.0719259613818005e-5	6.822418549070752	FALSE
Atp8a2	12378.856600453855	-2.7599610215335018	0.148913601249608	-5.1033687665618945	3.336599191590765e-7	7.1530266781855345e-6	6.408934090599721	FALSE
Ica1l	2824.860694215839	-2.757385283656489	0.16513244896189164	-4.58653213476701	4.506690639416074e-6	8.396422560281071e-5	7.009286877929142	FALSE
Vldlr	2403.494743555419	2.763381127933675	0.166240258427046	4.5920352576249295	4.389441880641728e-6	8.188923969025854e-5	8.43651906492309	FALSE
Vsnl1	2406.2416438919154	2.895358861421008	0.18147024840479975	4.933915445047281	8.059734213422616e-7	1.6542040647755166e-5	6.852187318330497	FALSE
Pcdh9	26558.10395911328	2.9640983327678163	0.1515169254065514	6.362974500577676	1.9788355326315528e-10	5.769257736977682e-9	7.346489231497528	FALSE
Zfp385b	11367.543550832366	3.0149005986167157	0.1920991860981309	5.283211341136393	1.2693880870519282e-7	2.8717844774603362e-6	7.228622514709437	FALSE
Fndc3b	1824.7643593342193	3.0646683163387625	0.20216048340114276	5.26645117990821	1.3908621212401164e-7	3.116246707653097e-6	5.059346144509629	FALSE
Scn9a	5595.2623272538	3.066986051595041	0.15849016451813855	6.7321909522841645	1.671271036565596e-11	5.281368064756949e-10	7.608681493948202	FALSE
Tgfbr3	1261.0247696073548	3.0879078294021074	0.22671813908624447	4.798503700615957	1.5985535515830716e-6	3.13325489379208e-5	5.224191942662027	FALSE
Tmem2	1545.815609091154	3.1158327275783493	0.1736581252103257	6.425456489449663	1.3147436881930492e-10	3.8983549018421984e-9	6.712091194421849	FALSE
Mei4	1553.3307996722215	3.1197741897442905	0.19499192284171368	5.742669611260137	9.319545266768261e-9	2.3962579859351015e-7	4.626525270875656	FALSE
Eaf2	1262.963239781967	3.1546083310758064	0.21646311686744713	5.333972585190297	9.60870364046029e-8	2.2096847183738385e-6	6.388772458445315	FALSE
Kirrel3	205154.65621162794	3.163590325006957	0.17843879088253187	6.52094939251724	6.986375599836805e-11	2.102853787458439e-9	10.97460661966591	FALSE
Arhgef2	666.1430933897343	3.1700092596447584	0.2571811670661731	4.549358232532296	5.380977116213311e-6	9.958737993565566e-5	6.529759583832382	FALSE
Kcnc1	947.8494233119219	3.181731102512286	0.21463718190064746	5.505714769677197	3.676734130442305e-8	8.880236887667932e-7	6.970676661209564	FALSE
Pparg	1830.239127028891	3.188413126629998	0.20508886974264268	5.794625169670531	6.847393856889344e-9	1.7836501082170074e-7	6.263421900697017	FALSE
Ccdc15	480.2521097368197	3.188633153094986	0.23670981942272887	5.021478010476034	5.127537488518764e-7	1.0729333699699323e-5	5.17275301882674	FALSE
Kcnt1	1612.4345990244442	3.202574115236113	0.2286957844104089	5.2584008854226125	1.4531346996349607e-7	3.24014162785805e-6	7.360925582790699	FALSE
Cdh11	1816.7513699032863	3.2265078604441704	0.20485163983905086	5.987298229137052	2.133553655428545e-9	5.762248787219419e-8	5.999699077734766	FALSE
Arhgap10	4403.85248700769	3.2399100622399524	0.1741840984745282	7.118388378151927	1.0919631591858517e-12	3.842827925862129e-11	6.488653918096065	FALSE
Zkscan2	1300.7599423010445	3.2428836571690662	0.23560344197486924	5.2753204569126755	1.3252430281252243e-7	2.97400754266556e-6	8.121235012420934	FALSE
Shc4	3652.617290485217	3.2471894975466986	0.17205193944001318	7.248912750451952	4.2013040091393585e-13	1.5367289415056716e-11	7.694452046535243	FALSE
Abtb2	998.8364911648174	3.298542597937854	0.22902672593246773	5.669829984474173	1.4293929242849752e-8	3.5956714427500746e-7	5.1567808978752785	FALSE
Igsf9b	2337.7208888836867	3.343907906530744	0.16521626100983092	8.134235082651925	4.1454742965085304e-16	1.912957940269632e-14	7.778758880940911	FALSE
Dok6	2842.3105287130497	3.3681475912800956	0.18718310234966187	7.309140483868933	2.688565693428679e-13	1.0045000403115835e-11	5.058668446565754	FALSE
Cotl1	1361.8548368125344	3.373836253850776	0.17986595667645638	7.638111620655587	2.2043072819576425e-14	9.061718667068349e-13	7.898519740109414	FALSE
Prkca	12239.351533766065	3.3747745221634773	0.1739883363682683	7.901532659370875	2.754946439310821e-15	1.1960415444933208e-13	7.352096336860039	FALSE
Nrcam	1649.2481836370787	3.384874343222913	0.28762338381996183	4.81488787465826	1.4728256448332508e-6	2.923831650483787e-5	5.043816831061364	FALSE
Pcsk6	1304.9643524088365	3.411543275631038	0.2918606538411583	4.836360287191208	1.322381423091983e-6	2.6478028034784302e-5	5.241830015722901	FALSE
Rdh10	427.25623446937584	3.4513409803501633	0.287331037808684	5.051111050928378	4.392475955111818e-7	9.232812203686018e-6	6.388781180748997	FALSE
Arhgef37	1616.2414440917184	3.4714711426870535	0.2408298466991187	6.110003236124795	9.962911986532894e-10	2.7399055297456686e-8	7.676594402428655	FALSE
Tmx1	785.449468398123	3.50028309476916	0.23148894503880782	6.48101400487028	9.110821371979484e-11	2.7305033686001308e-9	8.171664138449493	FALSE
